"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","Solo"
"LINE","SECONDS","NANOSECONDS","RECORD","flx_solo_Avg","flx_solo2_Avg","Uso_10cm_Avg","ECCs650_10cm_Avg","TempSCs650_10cm_Avg","PermCs650_10cm_Avg","PerAvgCs650_10cm_Avg","VoltRCs650_10cm_Avg","Uso_20cm_Avg","ECCs650_20cm_Avg","TempSCs650_20cm_Avg","PermCs650_20cm_Avg","PerAvgCs650_20cm_Avg","VoltRCs650_20cm_Avg","Uso_30cm_Avg","ECCs650_30cm_Avg","TempSCs650_30cm_Avg","PermCs650_30cm_Avg","PerAvgCs650_30cm_Avg","VoltRCs650_30cm_Avg","Uso_40cm_Avg","ECCs650_40cm_Avg","TempSCs650_40cm_Avg","PermCs650_40cm_Avg","PerAvgCs650_40cm_Avg","VoltRCs650_40cm_Avg","Uso_60cm_Avg","ECCs650_60cm_Avg","TempSCs650_60cm_Avg","PermCs650_60cm_Avg","PerAvgCs650_60cm_Avg","VoltRCs650_60cm_Avg","Uso_100cm_Avg","ECCs650_100cm_Avg","TempSCs650_100cm_Avg","PermCs650_100cm_Avg","PerAvgCs650_100cm_Avg","VoltRCs650_100cm_Avg"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
227,1056721200,0,566,"NAN","NAN",0.4015,0.03081,25.6702,25.1091,3.5841,1.09261,0.3863,0.01742,25.6878,23.5992,3.5208,1.05135,0.3644,0.01432,25.6744,21.5995,3.4214,1.04211,0.3216,0.00605,25.7387,18.1563,3.2247,1.01811,0.33266,0.00596,25.5626,18.9956,3.26628,1.01829,0.3775,0.01093,25.5087,22.7676,3.5039,1.03224
228,1056721800,0,567,"NAN","NAN",0.4015,0.03084,25.6858,25.109,3.5841,1.09274,0.3863,0.01737,25.6808,23.5994,3.5208,1.0512,0.3644,0.01429,25.6749,21.5996,3.4214,1.04201,0.32145,0.00603,25.7292,18.1469,3.22415,1.01806,0.3325,0.00593,25.576,18.9802,3.2654,1.01818,0.37732,0.01096,25.5062,22.7548,3.50318,1.03228
229,1056722400,0,568,"NAN","NAN",0.4015,0.03078,25.6914,25.1092,3.5841,1.09254,0.3863,0.01741,25.6951,23.5993,3.5208,1.05129,0.36428,0.01431,25.6693,21.587,3.42068,1.04207,0.32131,0.00599,25.7347,18.1376,3.2236,1.01792,0.3325,0.00592,25.571,18.9802,3.2654,1.01819,0.3772,0.011,25.5121,22.7461,3.5027,1.03248
230,1056723000,0,569,"NAN","NAN",0.4015,0.03084,25.706,25.109,3.5841,1.09272,0.3863,0.01735,25.6923,23.5995,3.5208,1.05113,0.3642,0.01431,25.6719,21.5786,3.4202,1.04208,0.32131,0.00594,25.737,18.1378,3.2236,1.01782,0.33226,0.00595,25.5674,18.9644,3.26452,1.01827,0.3772,0.01091,25.5129,22.7463,3.5027,1.0322
231,1056723600,0,570,"NAN","NAN",0.4015,0.03085,25.7093,25.109,3.5841,1.09273,0.38614,0.01738,25.6942,23.5818,3.51992,1.05123,0.3642,0.01427,25.6702,21.5787,3.4202,1.04197,0.32128,0.00595,25.7398,18.134,3.22336,1.01784,0.3322,0.00591,25.5757,18.9607,3.2643,1.01816,0.37718,0.01101,25.5107,22.7439,3.50259,1.03255
232,1056724200,0,571,"NAN","NAN",0.40136,0.03082,25.7258,25.0929,3.58333,1.09266,0.3861,0.01735,25.6886,23.5774,3.5197,1.05118,0.36412,0.01425,25.6688,21.5705,3.41976,1.04188,0.3211,0.00599,25.7306,18.1185,3.2224,1.01798,0.33208,0.00594,25.5808,18.9488,3.26358,1.01824,0.377,0.01095,25.5109,22.725,3.5016,1.03228
233,1056724800,0,572,"NAN","NAN",0.4013,0.03088,25.7348,25.0858,3.583,1.09284,0.3861,0.0174,25.6934,23.5773,3.5197,1.05129,0.364,0.01431,25.6718,21.5577,3.4191,1.04207,0.3211,0.00597,25.7325,18.1188,3.2224,1.01781,0.332,0.00596,25.5738,18.941,3.2631,1.01824,0.377,0.01093,25.5045,22.725,3.5016,1.03227
234,1056725400,0,573,"NAN","NAN",0.4013,0.03082,25.7504,25.086,3.583,1.09265,0.3861,0.01744,25.6931,23.5772,3.5197,1.0514,0.364,0.01428,25.673,21.5577,3.4191,1.04202,0.32101,0.00599,25.7308,18.1129,3.22207,1.01795,0.332,0.00597,25.5654,18.9409,3.2631,1.0183,0.377,0.01099,25.5043,22.7248,3.5016,1.03245
235,1056726000,0,574,"NAN","NAN",0.4013,0.03086,25.7661,25.0859,3.583,1.0928,0.3861,0.01738,25.6998,23.5774,3.5197,1.05121,0.364,0.01428,25.6674,21.5578,3.4191,1.042,0.3208,0.00599,25.7325,18.0996,3.2213,1.01791,0.3317,0.00596,25.5595,18.9215,3.262,1.01821,0.37686,0.01096,25.5042,22.71,3.50083,1.03234
236,1056726600,0,575,"NAN","NAN",0.4013,0.03094,25.7812,25.0857,3.583,1.09298,0.3861,0.01734,25.704,23.5775,3.5197,1.05108,0.36373,0.01429,25.671,21.5389,3.41811,1.04203,0.3208,0.00595,25.7328,18.0999,3.2213,1.01776,0.3317,0.00594,25.569,18.9216,3.262,1.01818,0.3768,0.01094,25.5132,22.7037,3.5005,1.03224
237,1056727200,0,576,"NAN","NAN",0.4013,0.03092,25.7929,25.0857,3.583,1.09295,0.3858,0.01741,25.7026,23.5553,3.5186,1.05126,0.3637,0.01424,25.6724,21.537,3.418,1.04192,0.3208,0.00604,25.7361,18.0993,3.2213,1.01805,0.33179,0.00594,25.5752,18.9274,3.26233,1.01824,0.3768,0.01094,25.5112,22.7037,3.5005,1.03231
238,1056727800,0,577,"NAN","NAN",0.4013,0.0309,25.812,25.0858,3.583,1.09291,0.3858,0.01741,25.7034,23.5552,3.5186,1.05133,0.3637,0.01423,25.6735,21.537,3.418,1.04187,0.32072,0.00597,25.7311,18.0922,3.22086,1.01781,0.3317,0.00589,25.5766,18.9218,3.262,1.01806,0.3768,0.01099,25.5073,22.7036,3.5005,1.03239
239,1056728400,0,578,"NAN","NAN",0.4013,0.03083,25.8246,25.0859,3.583,1.09271,0.3858,0.0174,25.7029,23.5553,3.5186,1.05128,0.3637,0.01425,25.6721,21.5369,3.418,1.04195,0.3206,0.00598,25.7364,18.0807,3.2202,1.01788,0.3317,0.00591,25.5791,18.9217,3.262,1.01812,0.3768,0.01099,25.5129,22.7036,3.5005,1.03244
240,1056729000,0,579,"NAN","NAN",0.4013,0.03098,25.8357,25.0856,3.583,1.09314,0.3858,0.01737,25.7085,23.5554,3.5186,1.05114,0.36358,0.0143,25.6693,21.5243,3.41728,1.042,0.3206,0.00597,25.7328,18.0808,3.2202,1.01781,0.3317,0.00595,25.5713,18.9215,3.262,1.01823,0.3768,0.01097,25.5121,22.7036,3.5005,1.03238
241,1056729600,0,580,"NAN","NAN",0.4013,0.03082,25.8539,25.086,3.583,1.09261,0.3858,0.01737,25.716,23.5553,3.5186,1.05123,0.3635,0.01427,25.6652,21.5159,3.4168,1.04197,0.3206,0.00599,25.7292,18.0806,3.2202,1.01793,0.33156,0.00595,25.5777,18.9078,3.26123,1.0182,0.37659,0.01088,25.5014,22.689,3.49966,1.03208
242,1056730200,0,581,"NAN","NAN",0.4013,0.03084,25.8844,25.0859,3.583,1.09274,0.3858,0.01738,25.7166,23.5553,3.5186,1.05125,0.3635,0.01421,25.671,21.5161,3.4168,1.04182,0.3206,0.00601,25.7348,18.0806,3.2202,1.01794,0.3315,0.00591,25.5729,18.9022,3.2609,1.01811,0.3765,0.01097,25.5137,22.6824,3.4993,1.03231
243,1056730800,0,582,"NAN","NAN",0.4013,0.03103,25.8981,25.0855,3.583,1.09324,0.38571,0.01736,25.718,23.5444,3.518,1.05118,0.3635,0.01431,25.6668,21.5158,3.4168,1.04209,0.3206,0.00595,25.73,18.0809,3.2202,1.01778,0.3315,0.00598,25.571,18.9018,3.2609,1.01832,0.3765,0.01093,25.514,22.6825,3.4993,1.03223
244,1056731400,0,583,"NAN","NAN",0.40122,0.03094,25.9063,25.0787,3.58267,1.09305,0.3856,0.01735,25.7269,23.5334,3.5174,1.05116,0.3635,0.01429,25.6719,21.5159,3.4168,1.04204,0.3206,0.00598,25.7331,18.0806,3.2202,1.01792,0.3315,0.0059,25.5791,18.9023,3.2609,1.01806,0.3765,0.01093,25.5126,22.6825,3.4993,1.03224
245,1056732000,0,584,"NAN","NAN",0.40102,0.03095,25.92,25.0625,3.5819,1.09306,0.3856,0.01733,25.7227,23.5335,3.5174,1.05106,0.3635,0.01422,25.6735,21.5161,3.4168,1.04185,0.32032,0.00598,25.7375,18.0636,3.21912,1.01786,0.3315,0.00593,25.5769,18.9021,3.2609,1.01813,0.3765,0.011,25.5101,22.6823,3.4993,1.03248
246,1056732600,0,585,"NAN","NAN",0.40104,0.0309,25.9312,25.0627,3.5819,1.09288,0.3856,0.01737,25.7272,23.5333,3.5174,1.0512,0.36336,0.01424,25.6794,21.5056,3.41625,1.04189,0.3203,0.00597,25.7303,18.0618,3.219,1.0178,0.33141,0.00588,25.5738,18.8964,3.26054,1.01805,0.3765,0.01092,25.5129,22.6825,3.4993,1.0322
247,1056733200,0,586,"NAN","NAN",0.40102,0.03094,25.9471,25.0626,3.5819,1.09301,0.3856,0.01732,25.7336,23.5334,3.5174,1.0511,0.3632,0.01418,25.6691,21.4954,3.4157,1.0417,0.3203,0.00598,25.7328,18.0616,3.219,1.01792,0.3312,0.00581,25.5749,18.8831,3.2597,1.01786,0.3765,0.01092,25.5154,22.6825,3.4993,1.03225
248,1056733800,0,587,"NAN","NAN",0.40102,0.03097,25.9603,25.0625,3.5819,1.09309,0.3856,0.0173,25.7434,23.5336,3.5174,1.05098,0.3632,0.01428,25.6758,21.495,3.4157,1.04199,0.3203,0.00599,25.7387,18.0617,3.219,1.01792,0.3312,0.00589,25.5811,18.8827,3.2597,1.01808,0.3765,0.01094,25.5149,22.6824,3.4993,1.03229
249,1056734400,0,588,"NAN","NAN",0.40103,0.0309,25.9631,25.0627,3.5819,1.09288,0.3856,0.01738,25.7448,23.5333,3.5174,1.05123,0.3632,0.0142,25.6741,21.4953,3.4157,1.04179,0.3203,0.00596,25.7275,18.0618,3.219,1.01784,0.3312,0.00591,25.5774,18.8827,3.2597,1.01808,0.3765,0.01088,25.5137,22.6826,3.4993,1.0321
250,1056735000,0,589,"NAN","NAN",0.40102,0.03095,25.9737,25.0625,3.5819,1.09307,0.3856,0.01733,25.7465,23.5335,3.5174,1.05104,0.3632,0.01428,25.6738,21.495,3.4157,1.04201,0.3203,0.00598,25.737,18.0616,3.219,1.01792,0.3312,0.00588,25.5869,18.8827,3.2597,1.01805,0.3765,0.01091,25.5154,22.6825,3.4993,1.03222
251,1056735600,0,590,"NAN","NAN",0.401,0.03103,25.9805,25.0624,3.5819,1.09326,0.3856,0.01737,25.7529,23.5334,3.5174,1.05118,0.3632,0.01423,25.6755,21.4952,3.4157,1.04186,0.3203,0.00597,25.732,18.0617,3.219,1.01787,0.3312,0.00589,25.5741,18.8828,3.2597,1.01805,0.3765,0.01091,25.516,22.6825,3.4993,1.03218
252,1056736200,0,591,"NAN","NAN",0.40103,0.03094,25.9849,25.0626,3.5819,1.093,0.3856,0.0173,25.7557,23.5335,3.5174,1.05101,0.3632,0.01418,25.6716,21.4953,3.4157,1.04176,0.3203,0.00596,25.7269,18.0619,3.219,1.01781,0.3312,0.0059,25.5735,18.8826,3.2597,1.01814,0.3765,0.01101,25.5123,22.6823,3.4993,1.03245
253,1056736800,0,592,"NAN","NAN",0.40102,0.03099,25.9987,25.0624,3.5819,1.09318,0.3855,0.01738,25.7678,23.5224,3.51685,1.05119,0.36321,0.01419,25.6744,21.4953,3.4157,1.04179,0.3203,0.006,25.7305,18.0616,3.219,1.01792,0.33118,0.00595,25.5835,18.8805,3.25959,1.01824,0.3765,0.0109,25.5143,22.6825,3.4993,1.03217
254,1056737400,0,593,"NAN",-0.379,0.40103,0.03098,26.0023,25.0624,3.5819,1.09317,0.3854,0.01728,25.7602,23.5116,3.5163,1.0509,0.36321,0.01416,25.6744,21.4955,3.4157,1.04166,0.3203,0.00594,25.7345,18.062,3.219,1.01775,0.3312,0.00587,25.5805,18.8828,3.2597,1.01801,0.3765,0.01091,25.5129,22.6825,3.4993,1.03218
255,1056738000,0,594,"NAN",70.68,0.40102,0.03094,26.0113,25.0626,3.5819,1.09297,0.3854,0.01736,25.7711,23.5114,3.5163,1.05113,0.36321,0.01424,25.6713,21.4952,3.4157,1.04187,0.3203,0.0059,25.7322,18.0621,3.219,1.01766,0.3312,0.00586,25.5788,18.8829,3.2597,1.01798,0.3765,0.01091,25.5154,22.6825,3.4993,1.03219
256,1056738600,0,595,"NAN",31.2,0.40104,0.03101,26.0059,25.0624,3.5819,1.09321,0.38542,0.01738,25.7725,23.5136,3.51641,1.0512,0.36321,0.01425,25.6816,21.4951,3.4157,1.0419,0.3203,0.0059,25.7278,18.0622,3.219,1.01765,0.3312,0.00588,25.5799,18.8828,3.2597,1.01799,0.3765,0.01095,25.514,22.6824,3.4993,1.03233
257,1056739200,0,596,"NAN",-6.266,0.401,0.03096,26.0143,25.0579,3.58166,1.09309,0.3854,0.0174,25.7767,23.5113,3.5163,1.05123,0.36324,0.01416,25.6727,21.4955,3.4157,1.04161,0.32031,0.0059,25.7348,18.0621,3.219,1.01765,0.3312,0.00591,25.5822,18.8827,3.2597,1.01809,0.37651,0.01083,25.5143,22.6827,3.4993,1.03199
258,1056739800,0,597,"NAN",-4.421,0.4008,0.03088,26.0258,25.0397,3.5807,1.09282,0.38536,0.01744,25.784,23.5067,3.51608,1.05141,0.36323,0.01423,25.683,21.4952,3.4157,1.04181,0.3203,0.00595,25.7303,18.0619,3.219,1.01776,0.3312,0.00601,25.5819,18.8822,3.2597,1.0184,0.37668,0.0109,25.5079,22.6953,3.50002,1.03212
259,1056740400,0,598,"NAN",24.18,0.4008,0.03107,26.0241,25.0392,3.5807,1.09341,0.38516,0.01756,25.7854,23.4889,3.5152,1.0517,0.36322,0.01417,25.692,21.4954,3.4157,1.04171,0.3203,0.00593,25.7342,18.0619,3.219,1.01776,0.3312,0.00592,25.5844,18.8826,3.2597,1.01816,0.3768,0.01095,25.5146,22.7037,3.5005,1.03227
260,1056741000,0,599,"NAN",-59.75,0.4008,0.03087,26.0222,25.0397,3.5807,1.09283,0.38519,0.01732,25.8016,23.4895,3.5152,1.05102,0.36322,0.01421,25.6853,21.4952,3.4157,1.04184,0.3203,0.00591,25.7356,18.062,3.219,1.01771,0.3312,0.00588,25.5939,18.8828,3.2597,1.01803,0.3768,0.01103,25.5174,22.7034,3.5005,1.03258
261,1056741600,0,600,"NAN",9.41,0.4008,0.03091,26.0373,25.0396,3.5807,1.09289,0.38519,0.01735,25.7983,23.4894,3.5152,1.05114,0.36321,0.01416,25.6833,21.4954,3.4157,1.04169,0.3203,0.00595,25.7272,18.0619,3.219,1.0178,0.3312,0.00593,25.5796,18.8826,3.2597,1.01813,0.3768,0.01101,25.5154,22.7035,3.5005,1.03243
262,1056742200,0,601,"NAN",30.7,0.40074,0.03091,26.0334,25.0326,3.58037,1.09297,0.3852,0.01735,25.7977,23.4894,3.5152,1.05114,0.36322,0.01415,25.6827,21.4955,3.4157,1.04162,0.3203,0.00596,25.7373,18.0617,3.219,1.01791,0.3312,0.00591,25.5805,18.8827,3.2597,1.01809,0.3768,0.01097,25.5098,22.7036,3.5005,1.03235
263,1056742800,0,602,"NAN",65.23,0.4006,0.03101,26.0303,25.0163,3.5796,1.0932,0.3852,0.01731,25.8095,23.4896,3.5152,1.05101,0.36323,0.01412,25.6892,21.4956,3.4157,1.04156,0.3203,0.00598,25.7255,18.0616,3.219,1.01791,0.3312,0.00595,25.5836,18.8825,3.2597,1.01821,0.3768,0.01093,25.5126,22.7038,3.5005,1.03222
264,1056743400,0,603,"NAN",98,0.4006,0.03086,26.0244,25.0167,3.5796,1.09277,0.3852,0.01738,25.8131,23.4893,3.5152,1.05123,0.3632,0.01423,25.6895,21.4951,3.4157,1.04189,0.3203,0.00597,25.7297,18.0617,3.219,1.01788,0.3312,0.00594,25.5847,18.8825,3.2597,1.0182,0.3768,0.01093,25.5093,22.7037,3.5005,1.03225
265,1056744000,0,604,"NAN",90.7,0.4006,0.03096,26.0359,25.0164,3.5796,1.09309,0.38519,0.01736,25.8123,23.4894,3.5152,1.05119,0.36321,0.0143,25.6903,21.4949,3.4157,1.04205,0.3203,0.00588,25.7364,18.0622,3.219,1.01759,0.3312,0.00589,25.5852,18.8827,3.2597,1.01805,0.3768,0.01098,25.5143,22.7036,3.5005,1.03235
266,1056744600,0,605,"NAN",55.48,0.4006,0.03098,26.0253,25.0164,3.5796,1.09313,0.38519,0.01739,25.8167,23.4893,3.5152,1.05125,0.36322,0.0142,25.6911,21.4953,3.4157,1.04178,0.3203,0.00599,25.7347,18.0617,3.219,1.01788,0.3312,0.00587,25.5782,18.8828,3.2597,1.01801,0.3768,0.01093,25.5165,22.7038,3.5005,1.03221
267,1056745200,0,606,"NAN",64.62,0.4006,0.03092,26.0213,25.0165,3.5796,1.09293,0.38519,0.01736,25.8263,23.4894,3.5152,1.05115,0.36321,0.01416,25.6931,21.4955,3.4157,1.04161,0.3203,0.00598,25.73,18.0617,3.219,1.01788,0.3312,0.00594,25.5827,18.8824,3.2597,1.01823,0.3768,0.01096,25.516,22.7036,3.5005,1.03237
268,1056745800,0,607,"NAN",64.21,0.4006,0.03096,26.0135,25.0165,3.5796,1.09302,0.3852,0.01735,25.8192,23.4895,3.5152,1.05113,0.36304,0.01415,25.6965,21.4788,3.41482,1.0416,0.3203,0.00598,25.7339,18.0616,3.219,1.01792,0.3312,0.00593,25.5746,18.8827,3.2597,1.01811,0.3768,0.01087,25.516,22.7039,3.5005,1.03211
269,1056746400,0,608,"NAN",73.43,0.4006,0.03084,26.0118,25.0167,3.5796,1.09275,0.3852,0.0173,25.8293,23.4896,3.5152,1.05098,0.363,0.01409,25.6953,21.4749,3.4146,1.04143,0.3203,0.00601,25.7283,18.0616,3.219,1.01793,0.3312,0.0059,25.5886,18.8826,3.2597,1.01811,0.3768,0.01096,25.5168,22.7036,3.5005,1.03235
270,1056747000,0,609,"NAN",83.2,0.4006,0.03094,25.9959,25.0165,3.5796,1.09298,0.3852,0.01732,25.8394,23.4895,3.5152,1.05105,0.363,0.01416,25.6976,21.4745,3.4146,1.04167,0.3203,0.00594,25.7303,18.0619,3.219,1.0178,0.3312,0.00593,25.5877,18.8826,3.2597,1.01813,0.3768,0.0109,25.5115,22.7038,3.5005,1.03219
271,1056747600,0,610,"NAN",100.9,0.4006,0.03102,25.9964,25.0162,3.5796,1.09326,0.3852,0.01731,25.824,23.4895,3.5152,1.05108,0.363,0.01422,25.6962,21.4743,3.4146,1.04183,0.3203,0.00596,25.7364,18.0618,3.219,1.01783,0.3312,0.00593,25.5914,18.8825,3.2597,1.01818,0.3768,0.01093,25.5118,22.7037,3.5005,1.03223
272,1056748200,0,611,"NAN",20.74,0.4006,0.03095,25.9872,25.0164,3.5796,1.09308,0.38522,0.01732,25.8352,23.4917,3.51531,1.05109,0.363,0.01415,25.7049,21.4746,3.4146,1.04162,0.3203,0.00586,25.737,18.0624,3.219,1.01754,0.3312,0.00588,25.5852,18.8829,3.2597,1.018,0.3768,0.01094,25.5168,22.7037,3.5005,1.03229
273,1056748800,0,612,"NAN",91.3,0.4006,0.03091,25.9732,25.0165,3.5796,1.09297,0.38519,0.01744,25.8383,23.4914,3.51529,1.05136,0.363,0.01412,25.7068,21.4747,3.4146,1.04157,0.3203,0.00593,25.7331,18.062,3.219,1.01771,0.3312,0.00591,25.5891,18.8826,3.2597,1.01812,0.3768,0.01091,25.5182,22.7038,3.5005,1.03222
274,1056749400,0,613,"NAN",90,0.4006,0.03091,25.9701,25.0165,3.5796,1.09293,0.38517,0.01734,25.845,23.4873,3.51508,1.05113,0.363,0.01424,25.7088,21.4742,3.4146,1.04192,0.3203,0.00591,25.7308,18.0621,3.219,1.01768,0.3312,0.00586,25.5989,18.883,3.2597,1.01792,0.3768,0.01096,25.5202,22.7037,3.5005,1.03233
275,1056750000,0,614,"NAN",22.61,0.4006,0.03086,25.9625,25.0167,3.5796,1.09271,0.3852,0.01728,25.8419,23.4897,3.5152,1.05093,0.363,0.01419,25.7121,21.4745,3.4146,1.04174,0.3203,0.00596,25.7392,18.0617,3.219,1.01787,0.3312,0.00591,25.5741,18.8827,3.2597,1.01808,0.3768,0.01091,25.5207,22.7038,3.5005,1.03221
276,1056750600,0,615,"NAN",60.18,0.4006,0.03093,25.9544,25.0165,3.5796,1.09301,0.38519,0.01734,25.8433,23.4894,3.5152,1.05112,0.363,0.01422,25.7071,21.4743,3.4146,1.04185,0.3203,0.00601,25.7401,18.0616,3.219,1.01797,0.3312,0.0059,25.5802,18.8826,3.2597,1.01811,0.3768,0.01094,25.5168,22.7037,3.5005,1.03227
277,1056751200,0,616,"NAN",89.2,0.4006,0.03087,25.9418,25.0167,3.5796,1.09279,0.3852,0.0174,25.8424,23.4893,3.5152,1.05124,0.363,0.01416,25.7091,21.4746,3.4146,1.04163,0.3203,0.00595,25.728,18.0618,3.219,1.01781,0.3312,0.00586,25.5872,18.883,3.2597,1.01794,0.3768,0.01095,25.511,22.7037,3.5005,1.03233
278,1056751800,0,617,"NAN",55.88,0.4006,0.03088,25.9326,25.0166,3.5796,1.09285,0.3852,0.01735,25.8422,23.4895,3.5152,1.0511,0.363,0.01416,25.7155,21.4746,3.4146,1.04166,0.3203,0.00592,25.744,18.0621,3.219,1.01767,0.3312,0.00594,25.5956,18.8825,3.2597,1.01821,0.3768,0.0109,25.5266,22.7038,3.5005,1.03211
279,1056752400,0,618,"NAN",87.4,0.4006,0.0309,25.9245,25.0166,3.5796,1.0929,0.38518,0.01736,25.8405,23.4894,3.5152,1.05115,0.363,0.01419,25.7147,21.4744,3.4146,1.04178,0.3203,0.00593,25.7434,18.0619,3.219,1.01775,0.3312,0.00589,25.5911,18.8827,3.2597,1.01806,0.3768,0.01098,25.5179,22.7036,3.5005,1.03237
280,1056753000,0,619,"NAN",94.6,0.4006,0.03087,25.9021,25.0167,3.5796,1.09276,0.3852,0.01728,25.8559,23.4896,3.5152,1.05097,0.363,0.0142,25.7194,21.4745,3.4146,1.04173,0.3203,0.00594,25.7429,18.0619,3.219,1.01778,0.3312,0.00586,25.5956,18.883,3.2597,1.01794,0.3768,0.01095,25.5118,22.7036,3.5005,1.03236
281,1056753600,0,620,"NAN",37.66,0.4006,0.03089,25.9079,25.0166,3.5796,1.09288,0.38519,0.01735,25.8405,23.4895,3.5152,1.0511,0.363,0.01416,25.7222,21.4746,3.4146,1.04162,0.3203,0.00599,25.7454,18.0616,3.219,1.01795,0.3312,0.00593,25.588,18.8826,3.2597,1.01813,0.3768,0.01094,25.5188,22.7037,3.5005,1.03231
282,1056754200,0,621,"NAN",65.07,0.4006,0.03083,25.8993,25.0168,3.5796,1.09268,0.3852,0.01729,25.8441,23.4896,3.5152,1.05094,0.363,0.0142,25.7177,21.4744,3.4146,1.04174,0.3203,0.00591,25.7443,18.0621,3.219,1.01767,0.3312,0.00587,25.5892,18.8828,3.2597,1.01802,0.3768,0.0109,25.5213,22.7038,3.5005,1.03219
283,1056754800,0,622,"NAN",74.97,0.4006,0.0308,25.885,25.0168,3.5796,1.09261,0.3852,0.01737,25.8416,23.4894,3.5152,1.05118,0.363,0.0142,25.7222,21.4744,3.4146,1.04177,0.3203,0.00596,25.7482,18.0618,3.219,1.01783,0.3312,0.00591,25.5891,18.8826,3.2597,1.01813,0.3768,0.01097,25.5185,22.7037,3.5005,1.03234
284,1056755400,0,623,"NAN",20,0.4006,0.03094,25.8701,25.0164,3.5796,1.09308,0.3852,0.01737,25.8343,23.4894,3.5152,1.0512,0.363,0.0142,25.7275,21.4744,3.4146,1.04175,0.3203,0.00596,25.7426,18.0618,3.219,1.01783,0.3312,0.00588,25.5891,18.8828,3.2597,1.01802,0.3768,0.01095,25.5221,22.7036,3.5005,1.03237
285,1056756000,0,624,"NAN",75.78,0.4006,0.03094,25.8665,25.0165,3.5796,1.09296,0.3852,0.01736,25.8366,23.4894,3.5152,1.05114,0.363,0.01416,25.7306,21.4746,3.4146,1.04163,0.3203,0.00593,25.7451,18.062,3.219,1.01771,0.3312,0.0059,25.5875,18.8827,3.2597,1.01811,0.3768,0.01099,25.5235,22.7036,3.5005,1.03244
286,1056756600,0,625,"NAN",107.2,0.4006,0.03081,25.8505,25.0168,3.5796,1.09266,0.38519,0.01734,25.8416,23.4895,3.5152,1.05112,0.363,0.01415,25.7233,21.4746,3.4146,1.04162,0.3203,0.00595,25.7434,18.0619,3.219,1.0178,0.3312,0.0059,25.5852,18.8828,3.2597,1.01803,0.3768,0.01089,25.5232,22.7038,3.5005,1.03216
287,1056757200,0,626,"NAN",38.43,0.4006,0.03094,25.8419,25.0165,3.5796,1.093,0.3852,0.01729,25.8385,23.4896,3.5152,1.05092,0.363,0.01415,25.735,21.4745,3.4146,1.04166,0.3203,0.00591,25.7437,18.0621,3.219,1.01767,0.3312,0.00587,25.5875,18.8828,3.2597,1.01801,0.3768,0.0109,25.5213,22.7038,3.5005,1.03216
288,1056757800,0,627,"NAN",68.52,0.4006,0.03081,25.8332,25.0168,3.5796,1.09263,0.3852,0.0173,25.8408,23.4896,3.5152,1.05099,0.363,0.01416,25.7306,21.4745,3.4146,1.04169,0.3203,0.00597,25.749,18.0617,3.219,1.01786,0.3312,0.00583,25.5894,18.8831,3.2597,1.01789,0.3768,0.0109,25.5258,22.7038,3.5005,1.03217
289,1056758400,0,628,"NAN",87.4,0.4006,0.03092,25.8304,25.0165,3.5796,1.09294,0.3852,0.01733,25.8391,23.4895,3.5152,1.05109,0.363,0.01414,25.7303,21.4747,3.4146,1.04156,0.3203,0.00592,25.7496,18.0619,3.219,1.01778,0.3312,0.00587,25.5914,18.8828,3.2597,1.01803,0.3768,0.01092,25.5179,22.7038,3.5005,1.0322
290,1056759000,0,629,"NAN",57.42,0.4006,0.03086,25.8204,25.0166,3.5796,1.09281,0.3852,0.01721,25.8349,23.4898,3.5152,1.05076,0.363,0.01421,25.7292,21.4744,3.4146,1.0418,0.3203,0.0059,25.7434,18.0622,3.219,1.01764,0.3312,0.00595,25.583,18.8825,3.2597,1.01819,0.3768,0.0109,25.5182,22.7038,3.5005,1.03215
291,1056759600,0,630,"NAN",79.37,0.4006,0.0309,25.7999,25.0166,3.5796,1.09291,0.3852,0.01726,25.8357,23.4897,3.5152,1.05085,0.363,0.01426,25.7297,21.4742,3.4146,1.0419,0.3203,0.00595,25.7496,18.0619,3.219,1.01779,0.3312,0.00595,25.5819,18.8824,3.2597,1.01825,0.3768,0.01101,25.5134,22.7035,3.5005,1.03249
292,1056760200,0,631,"NAN",81.1,0.4006,0.03083,25.8041,25.0168,3.5796,1.09266,0.3852,0.01724,25.8363,23.4898,3.5152,1.0508,0.363,0.01424,25.7264,21.4742,3.4146,1.04187,0.3203,0.00596,25.7535,18.0618,3.219,1.01782,0.3312,0.00591,25.5791,18.8827,3.2597,1.0181,0.3768,0.01089,25.521,22.7038,3.5005,1.03215
