"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","meteo"
"LINE","SECONDS","NANOSECONDS","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_8_19_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_1_2_1","TA_1_3_1","TA_2_1_1_4_1","TA_2_1_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1","H2O_1_2_1","H2O_99_99_1_3_1","H2O_1_4_1","H2O_1_5_1","H2O_1_6_1","H2O_1_7_1","CO2_1_2_1","CO2_1_3_1","CO2_1_4_1","CO2_1_5_1","CO2_1_6_1","CO2_1_7_1"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg","","","","","","","","","","","",""
"","","","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:"
82,1056731400,0,194,"NAN",0.10962,0,0,11.6399,"NAN","NAN",-64.2035,-639.788,27.8025,996.154,0,0,-241.781,29.0691,100.15,29.3203,29.5133,28.8895,28.4299,77.1903,62.159,77.8813,72.9737,77.4285,86.3125,1.66633,65.2809,0,0,0,0,2.53142,2.83259,2.38188,2.30008,2.17787,1.66111,361.096,362.732,364.219,364.098,364.808,421.118
83,1056733200,0,195,"NAN",0.408968,0,0,15.0653,"NAN","NAN",-98.6144,-602.496,28.2002,996.096,0,0,-241.787,29.4774,98.5957,28.7431,28.5284,27.7187,27.3446,73.3923,63.1532,80.6948,77.2534,83.6504,92.9471,1.7115,109.512,0,0,0,0,2.98717,2.10532,1.18799,1.00358,0.693651,0.576303,363.717,363.226,362.374,363.89,370.682,430.31
84,1056735000,0,196,"NAN",0.484843,0,0,10.1414,"NAN","NAN",-44.6707,-554.809,28.4179,996.269,0,0,-241.789,29.219,104.175,29.5284,29.0908,27.8589,27.3732,81.4565,66.4738,81.2644,78.5578,86.5046,96.129,0.616333,77.4736,0,0,0,0,1.60449,1.48934,0.901563,0.54028,0.379826,-0.00218193,361.567,360.776,360.618,361.586,384.465,466.136
85,1056736800,0,197,"NAN",0.501691,0,0,3.32921,65.6369,"NAN",-38.8606,-504.347,26.8676,996.567,0,0,-241.788,27.3134,88.2751,27.8802,27.5883,27.3296,27.1045,87.042,66.5084,85.9292,83.1773,88.617,98.596,2.7975,65.1087,0,0,0,0,1.08541,1.58692,1.19185,0.55829,0.60142,0.252699,359.257,361.658,382.942,370.898,388.419,435.777
86,1056738600,0,198,"NAN",0.501696,0,0,0.0277348,0.636223,"NAN",-76.3645,-421.597,24.5287,997.147,0,0,-241.793,25.1684,68.9021,25.8359,25.5627,25.9536,25.878,90.3343,57.8838,88.0779,85.3929,87.1632,94.9783,4.68367,91.5875,0,0,0,0,1.56488,1.31061,-0.212892,-0.512585,-0.885428,-1.29266,368.222,366.342,371.653,370.057,372.446,382.661
87,1056740400,0,199,"NAN",0.539691,0,0,-0.00028019,0.0344637,"NAN",-106.582,-310.134,23.202,996.987,1.016,0,-241.795,25.6973,64.5823,26.3824,23.751,23.9927,23.8963,78.3447,40.4326,74.3841,85.9401,91.5372,99.0367,3.43517,87.1561,0,0,0,0,0.0218355,-0.841235,-2.17435,-2.45845,-2.47673,-2.60247,367.253,366.156,369.071,366.996,370.941,377.45
88,1056742200,0,200,"NAN",0.763252,0,0,0,0.0336272,"NAN",-215.465,-201.318,23.8121,997.291,0,0,-241.797,27.6588,79.6937,27.7954,23.6696,23.21,23.0852,78.7267,62.3625,69.317,86.0389,94.3247,99.2507,1.822,127.163,0,0,0,0,-1.23247,-1.7507,-3.11753,-3.21201,-2.93515,-3.02962,365.016,363.672,367.986,368.034,372.826,383.358
89,1056744000,0,201,"NAN",0.581968,0,0,0,0.0336297,"NAN",-121.473,-26.6041,24.0398,997.718,0,0,-241.795,28.215,82.4761,28.1394,25.1382,23.2116,23.0899,78.4747,64.8237,74.5557,81.4138,95.8757,99.2742,2.0855,133.051,0,0,0,0,-2.25693,-2.25092,-2.84232,-2.7828,-2.67577,-2.50758,364.13,364.034,376.082,368.014,378.601,385.413
90,1056745800,0,202,"NAN",0.51023,0,0,0,0.0336266,"NAN",-86.1945,-13.4414,24.0465,998.164,0,0,-241.795,28.3331,79.8781,28.0944,24.5407,23.518,23.3769,77.2227,64.7927,78.7628,88.8293,96.8375,99.2911,2.287,129.36,0,0,0,0,-1.56942,-1.29802,-2.26567,-2.34594,-2.2886,-2.28478,364.13,363.795,387.604,373.263,391.038,399.679
91,1056747600,0,203,"NAN",0.505968,0,0,0,0.0336236,"NAN",-91.0694,-20.4437,24.3192,998.455,0,0,-241.793,28.1637,76.2251,27.4835,24.7671,23.6779,23.4908,76.6634,64.6642,80.6388,89.3582,97.2198,99.291,2.31517,117.732,0,0,0,0,-1.42962,-1.04846,-1.37829,-1.7873,-1.93966,-2.01229,364.86,364.334,396.689,372.758,395.945,407.979
92,1056749400,0,204,"NAN",0.50596,0,0,0,0.0336231,"NAN",-72.3322,-28.4755,24.1598,998.677,0,0,-241.792,27.824,72.9359,27.0819,24.6061,23.8414,23.5243,77.4153,64.9084,81.7452,89.5059,96.7485,99.2898,2.626,120.867,0,0,0,0,-0.874812,-0.719727,-1.77038,-1.82662,-1.92765,-2.05488,365.126,364.471,377.174,373.14,393.106,399.447
93,1056751200,0,205,"NAN",0.510185,0,0,0,0.0336236,"NAN",-61.1888,-31.0751,23.9039,999.05,0,0,-241.794,27.2549,66.4389,26.0739,24.1231,23.7398,23.5458,79.8245,65.5056,87.021,92.7573,96.9155,99.295,2.0295,100.599,0,0,0,0,-0.92942,-0.630717,-1.66007,-1.88396,-2.03195,-1.99863,371.024,365.215,398.191,378.594,404.935,402.915
94,1056753000,0,206,"NAN",0.518615,0,0,0,0.0336235,"NAN",-80.9954,-14.0557,23.6152,999.154,0,0,-241.792,26.4569,62.0171,25.5176,23.7487,23.6412,23.4734,84.2133,66.7476,88.5256,93.2618,97.2456,99.2936,1.70433,76.2772,0,0,0,0,-0.895017,-1.23522,-1.9828,-2.13625,-2.30116,-2.32355,373.092,365.229,400.539,383.741,405.611,411.085
95,1056754800,0,207,"NAN",0.53131,0,0,0,0.0336264,"NAN",-77.2412,3.53811,23.4607,999.059,0,0,-241.793,26.4915,62.4002,25.2014,23.5774,23.4807,23.3063,83.804,67.8254,90.2844,94.0193,97.2153,99.2912,3.01717,91.5337,0,0,0,0,-1.40778,-1.30512,-1.6759,-2.61461,-2.58949,-2.6856,374.191,364.833,402.225,397.952,410.771,421.529
96,1056756600,0,208,"NAN",0.628351,0,0,0,0.0327886,"NAN",-61.7975,16.0751,23.5191,999.319,0,0,-241.794,26.444,63.7565,25.504,23.4809,23.4556,23.2884,83.9149,68.219,88.7207,94.6214,97.2122,99.2844,2.979,87.4668,0,0,0,0,-1.4886,-1.16259,-2.63154,-2.69925,-2.76915,-2.82921,381.215,368.389,400.068,389.263,416.819,427.782
97,1056758400,0,209,"NAN",0.581969,0,0,0,0.0308273,"NAN",-69.3913,31.0466,23.4972,999.515,0,0,-241.794,26.1635,61.1786,25.6001,23.506,23.4735,23.3754,85.812,67.4744,88.2827,94.0478,97.5418,99.2892,2.54067,96.4153,0,0,0,0,-1.61365,-2.37706,-2.71727,-2.62553,-2.70799,-2.56382,378.423,368.901,399.672,383.768,400.949,401.952
98,1056760200,0,210,"NAN",0.539798,0,0,0,0.0249421,"NAN",-62.3094,39.0216,23.3564,999.441,0,0,-241.793,25.8228,58.415,25.6348,23.4829,23.3623,23.2409,87.876,67.5739,88.4932,94.1166,97.4687,99.283,1.627,77.7783,0,0,0,0,-1.63276,-2.58894,-2.70143,-2.52833,-2.65065,-2.56273,374.259,369.379,430.84,385.222,415.324,424.369
99,1056762000,0,211,"NAN",0.548232,0,0,0,0.0280248,"NAN",-66.7292,26.5358,23.2207,999.294,0,0,-241.793,25.6999,56.723,25.5108,23.3794,23.3376,23.2472,88.8512,67.7713,89.1456,94.3615,97.587,99.2872,1.69633,84.7347,0,0,0,0,-1.15823,-0.992218,-2.37488,-2.37433,-2.37324,-2.48027,370.778,369.311,400.3,387.502,400.942,420.416
100,1056763800,0,212,"NAN",0.548232,0,0,0,0.0229803,"NAN",-49.5791,46.1263,23.219,998.979,0,0,-241.793,25.7534,56.1533,25.3356,23.1758,23.1285,23.0378,87.9377,67.4525,90.2867,95.0216,97.6661,99.2878,2.49933,83.7836,0,0,0,0,-1.56887,-2.35577,-2.73857,-2.57966,-2.64901,-2.82539,380.314,369.181,430.061,394.396,428.635,430.587
101,1056765600,0,213,"NAN",0.518712,0,0,0,0.0187766,"NAN",-41.6212,38.959,23.2059,998.899,0,0,-241.791,25.6428,55.0008,25.2873,23.2733,23.2221,23.1297,87.5717,67.163,90.1411,95.5094,97.6624,99.287,1.91933,88.0462,0,0,0,0,-1.34826,-2.3716,-2.65447,-2.50594,-2.64355,-2.77734,373.242,371.324,414.075,383.338,426.683,421.747
102,1056767400,0,214,"NAN",0.535581,0,0,0,0.0235408,"NAN",-55.2332,44.6644,23.0071,998.841,0,0,-241.791,25.6436,54.4943,25.0944,23.0822,23.2036,23.1018,87.1516,67.5282,90.843,95.3905,97.74,99.2898,1.80183,97.9829,0,0,0,0,-1.61747,-1.43017,-2.77843,-2.68778,-3.03563,-3.27863,380.143,369.413,403.242,397.679,452.539,482.601
103,1056769200,0,215,"NAN",0.552449,0,0,0,0.0243816,"NAN",-70.5518,44.488,22.8763,998.74,0,0,-241.791,25.1689,53.7941,24.624,22.8808,23.0048,22.9024,89.49,68.5975,93.3498,95.5014,97.4323,99.2818,1.4965,80.8617,0,0,0,0,-1.85556,-1.44491,-2.79481,-2.77242,-3.02962,-3.10826,384.444,370.662,435.072,403.652,467.72,465.836
104,1056771000,0,216,"NAN",0.691616,0,0,0,0.0212988,"NAN",-63.9022,49.1297,23.099,998.81,0,0,-241.791,24.752,52.9562,24.4357,23.1559,22.8916,22.7929,92.3848,69.1812,95.6314,95.8774,97.7716,99.2816,1.27367,68.8761,0,0,0,0,-1.58143,-1.7256,-2.86307,-2.92369,-3.06403,-3.04273,391.406,377.406,435.208,405.502,436.928,432.532
105,1056772800,0,217,"NAN",0.590404,0,0,0,0.0190569,"NAN",-46.587,47.8271,23.0998,998.832,0,0,-241.792,24.8501,50.9181,24.4989,23.1177,22.9946,22.8589,90.2548,67.9502,95.3714,95.8689,97.8953,99.2887,1.78,85.3168,0,0,0,0,-1.57488,-1.47222,-2.82703,-3.00232,-3.1099,-3.03891,396.805,374.792,439.406,409.761,426.812,434.758
106,1056774600,0,218,"NAN",0.556667,0,0,0,0.0168149,"NAN",-40.4949,49.0159,23.1368,998.807,0,0,-241.792,25.2847,51.4747,24.9175,23.1914,22.8339,22.6928,87.5162,66.6504,91.6786,95.9741,97.864,99.2858,2.52883,87.0333,0,0,0,0,-1.71522,-1.68846,-3.0957,-3.02416,-3.21201,-3.19181,392.451,373.229,422.881,403.44,446.86,447.126
107,1056776400,0,219,"NAN",0.535581,0,0,0,0.0173754,"NAN",-29.8692,50.6371,23.1226,998.846,0,0,-241.791,25.4553,51.1476,24.9016,23.151,22.8447,22.6732,86.5077,66.2767,90.3771,95.959,98.0287,99.2858,2.91083,90.1666,0,0,0,0,-1.70539,-1.62075,-3.0187,-2.93679,-3.21365,-3.0684,383.078,371.898,434.177,400.73,453.188,441.761
108,1056778200,0,220,"NAN",0.531364,0,0,0,0.0198976,"NAN",-38.2025,48.7941,22.9545,999.099,0,0,-241.79,25.3669,50.9624,24.8658,22.9679,22.8228,22.7031,86.628,66.2281,89.3464,95.7932,97.9644,99.2907,2.8445,86.5989,0,0,0,0,-1.76273,-1.8572,-2.87126,-2.93188,-3.14976,-3.117,380.778,374.703,448.423,401.092,455.413,449.051
109,1056780000,0,221,"NAN",0.522929,0,0,0.0779089,1.2471,"NAN",-25.7964,47.9181,22.8052,999.381,0,0,-241.789,24.938,49.6081,24.7435,22.8268,22.8524,22.7784,88.6974,66.6624,90.0643,95.5316,98.0244,99.2875,2.101,82.4207,0,0,0,0,-2.06416,-1.68027,-2.63372,-2.91113,-3.01488,-2.89802,387.686,375.304,431.126,396.546,418.997,406.792
110,1056781800,0,222,"NAN",0.527147,0,0,5.52817,46.536,"NAN",-24.3288,45.2275,22.8982,999.622,0,0,-241.791,24.9349,53.0958,24.9022,22.8717,22.8808,22.8183,88.6152,67.5663,88.967,95.5079,97.8933,99.2838,2.197,87.5847,0,0,0,0,-1.91017,-1.49898,-2.96137,-2.90949,-2.93297,-3.0329,386.375,377.939,404.334,392.799,403.563,420.778
111,1056783600,0,223,"NAN",0.510274,0,0,21.0055,"NAN","NAN",-40.364,44.8009,23.8783,999.895,0,0,-241.788,25.3868,61.3717,25.471,23.2679,22.9272,22.8541,86.9212,67.3643,86.9812,95.5179,97.9508,99.2921,2.157,88.2166,0,0,0,0,-1.85229,-1.83809,-2.57911,-2.76041,-2.88546,-2.7757,389.666,380.778,420.546,391.078,501.563,514.341
112,1056785400,0,224,"NAN",0.455386,0,0,27.9606,"NAN","NAN",-35.0287,3.43404,25.1323,1000.22,0,0,-241.788,25.8811,69.0972,26.305,24.2326,23.3359,23.0208,85.2493,64.6832,84.8033,93.1376,98.2339,99.2981,1.90233,90.7536,0,0,0,0,-1.43181,-1.38102,-1.88011,-1.75057,-2.03424,-1.80154,386.71,381.406,395.896,390.211,557.439,556.446
113,1056787200,0,225,"NAN",0.160222,0,0,29.4789,"NAN","NAN",-35.102,-56.2384,26.2039,1000.66,0,0,-241.785,26.5844,75.2881,27.0738,25.3977,24.2502,23.7708,83.6978,60.3835,82.6368,87.8736,98.0332,99.3006,1.90967,86.2694,0,0,0,0,-0.334092,-0.923108,-0.951489,-0.676904,-0.658889,-0.811737,387.822,382.928,386.92,391.696,407.24,497.83
114,1056789000,0,226,"NAN",-0.155984,0,0,35.2465,"NAN","NAN",-74.0476,-106.463,27.3734,1000.88,0,0,-241.781,27.151,81.6718,27.6965,26.4884,25.4678,24.7139,83.3592,57.926,81.4932,83.8854,92.8084,99.3052,1.81,83.6597,0,0,0,0,0.694371,0.667614,0.0791455,0.190481,0.517371,0.293058,391.218,392.267,389.621,395.31,392.805,510.543
115,1056790800,0,227,"NAN",-0.328823,0,0,40.8501,"NAN","NAN",-66.3231,-152.082,28.3304,1001.01,0,0,-241.782,27.8849,86.6227,28.3259,27.402,26.6178,25.5539,80.6195,56.1461,78.9671,79.5183,86.7878,99.2548,2.49333,86.8647,0,0,0,0,1.93186,1.42817,1.2132,1.14333,1.22842,0.970276,384.942,384.26,384.209,387.421,389.662,455.507
116,1056792600,0,228,"NAN",-0.472189,0,0,45.2571,"NAN","NAN",-41.5474,-178.008,29.6494,1001.28,0,0,-241.779,28.7769,94.264,29.1907,28.8912,27.8271,26.643,77.8922,56.2678,76.1803,74.1158,80.7253,96.32,2.26033,82.1596,0,0,0,0,2.01857,1.58909,1.41774,1.45757,1.54488,1.39373,386.979,386.358,383.8,384.577,389.325,450.894
117,1056794400,0,229,"NAN",-0.505939,0,0,48.7016,"NAN","NAN",-54.5815,-211.323,30.9325,1001.33,0,0,-241.777,29.7411,101.799,30.1409,30.7885,28.6298,27.4111,75.1626,56.7898,73.6288,67.8005,79.8468,95.095,2.20483,84.9312,0,0,0,0,2.75089,2.5839,1.91105,2.1528,1.96671,1.96232,378.997,377.947,375.089,376.221,405.703,463.763
118,1056796200,0,230,"NAN",-0.50594,0,0,51.9983,"NAN","NAN",-76.4924,-235.541,31.2998,1001.21,0,0,-241.775,30.1434,105.647,30.571,31.6764,29.1978,27.9729,70.6041,56.7202,68.9614,62.1872,75.4691,92.9206,2.98817,93.321,0,0,0,0,3.23262,3.02407,2.63434,2.49349,2.52402,2.0575,370.229,369.981,383.878,372.036,388.547,460.812
119,1056798000,0,231,"NAN",-0.501724,0,0,57.2753,"NAN","NAN",-56.2494,-249.334,31.8719,1001,0,0,-241.776,30.5706,111.457,31.0105,31.7636,29.7084,28.4443,67.2462,57.1686,65.8289,59.8818,71.2424,89.4515,3.36233,104.457,0,0,0,0,3.37516,3.37686,3.70091,2.57474,2.38596,2.44324,366.735,366.839,380.185,369.77,395.523,429.617
120,1056799800,0,232,"NAN",-0.446914,0,0,53.5791,"NAN","NAN",-36.6417,-245.363,31.9527,1000.62,0,0,-241.778,30.9047,113.091,31.2867,31.8991,30.309,28.794,65.2927,58.6858,63.822,58.1925,67.2801,84.0796,3.39017,98.9961,0,0,0,0,3.71511,3.57545,2.58682,2.45146,2.50273,2.37232,364.997,366.272,363.572,366.265,371.612,416.038
121,1056807000,0,0,"NAN",-0.216855,0,0,816.204,950.565,"NAN",-28.3733,-111.902,33.9435,999.068,0,0,"NAN",32.5531,135.491,32.6791,33.9962,31.335,29.6305,58.7919,63.4921,57.9013,50.6656,63.3541,79.6141,2.64905,110.347,0,0,0,0,0,0,0,0.040382,1.45321,1.44775,0,0,0,36.2074,379.802,420.157
122,1056808800,0,1,"NAN","NAN",-215.051,"NAN",1070.52,59.3736,"NAN",-23.09,-144.48,32.5702,998.557,0,0,"NAN",32.1161,130.884,32.3789,32.9136,31.2776,29.8418,57.809,58.2709,57.2988,52.263,61.0912,73.8959,2.79717,112.963,0,0,0,0,1.60273,1.63329,1.56671,1.27749,1.24038,0.925512,363.765,364.734,361.712,363.261,366.166,402.585
123,1056810600,0,0,641.277,72.1059,-30.9848,-8.07519,1288.3,39.3988,546.262,786.541,158.324,33.2117,998.12,0,0,"NAN",26.6513,"NAN",32.4167,32.9369,31.0457,29.5333,52.122,57.5449,56.6455,51.7194,60.6612,74.5078,37.1735,0,0,0,0,0,0.839291,1.30368,-3.51214,1.9116,1.96671,1.70805,291.753,364.454,361.446,371.207,364.693,415.116
124,1056812400,0,1,716.41,69.5391,-81.2184,-10.7268,1309.4,48.0758,576.379,770.264,131.221,33.3603,997.809,0,0,35.2512,32.895,-4.02826,"NAN",22.3692,26.7943,27.6995,53.9975,30.9695,"NAN",42.8859,52.9957,67.5221,2.34483,130.444,0,0,0,0,2.10314,-0.0676671,2.5015,-8.23029,1.82483,-3.91433,364.188,365.675,363.24,383.131,361.726,401.63
125,1056814200,0,2,452.65,44.3895,-71.0911,-9.63333,839.053,34.1185,346.803,496.06,123.669,32.1565,997.51,0,0,34.2543,32.6178,-36.9013,"NAN",32.7608,32.5611,22.6792,55.6652,24.3916,"NAN",31.2817,58.38,60.6606,2.51283,139.265,0,0.00069,0,0,2.71921,3.87583,3.96521,4.20685,0.408602,3.32287,364.665,364.449,361.46,425.482,364.718,419.39
126,1056816000,0,3,419.971,43.2154,-75.3596,-9.75521,783.574,33.0911,311.151,465.103,123.312,32.2835,997.309,0,0,34.4488,33.1003,10.7618,"NAN",32.6718,30.987,29.7958,53.4671,59.4368,"NAN",24.1407,58.9538,68.8221,2.15833,143.506,0,0,0,0,4.0453,-0.801483,4.03108,4.51487,5.39296,4.73763,364.207,365.912,362.692,424.834,362.202,437.726
127,1056817800,0,4,297.163,32.1452,-69.9774,-8.94816,562.065,25.8693,203.989,337.893,104.77,31.4761,997.378,0,0,33.7316,32.6439,25.7741,"NAN",32.3109,30.6261,29.524,55.6321,59.8329,"NAN",-10.4976,60.8139,69.8078,2.14117,156.164,0,0,0,0,5.19513,5.22449,5.38578,-12.1583,-15.7653,-13.9096,363.964,364.092,362.01,367.831,363.111,412.525
128,1056819600,0,5,170.975,19.9656,-69.3469,-6.4205,320.552,17.1613,88.083,199.73,74.555,30.005,997.444,0,0,32.1019,31.5296,25.1322,31.4315,31.1569,29.8351,29.1589,62.2898,56.8619,62.985,60.9044,65.9016,73.9527,3.38733,157.371,0,0,0,0,0,0,0,0,2.79304,5.40614,0,0,0,0,192.625,447.053
129,1056821400,0,6,48.2513,4.64077,-65.4774,-4.76889,110.209,6.64923,-17.098,57.6721,49.1616,28.9642,997.394,0,0,30.8003,30.524,27.7123,30.7339,30.1509,29.3047,28.7313,65.4448,60.4057,65.345,64.3189,68.0499,75.9519,3.28867,159.201,0,0,0,0,5.43358,4.99585,4.4586,4.01946,3.97911,3.26564,363.446,364.01,363.391,364.627,364.102,458.126
130,1056823200,0,7,21.9592,4.42591,-61.8727,-3.33601,45.9153,5.57066,-41.0033,28.1262,21.1742,28.229,997.661,0,0,29.8002,29.9701,28.42,30.2263,29.3912,28.6232,28.1673,67.7018,62.7692,67.6234,67.195,70.4877,78.3231,2.86967,155.512,0,0,0,0,3.45679,2.86376,2.56422,2.29416,2.21342,1.54711,364.505,364.95,365.258,367.941,366.038,448.572
131,1056825000,0,8,-1.96512,1.07484,-59.2691,-2.94617,2.81403,0.454791,-59.3629,3.60715,3.16088,27.3564,997.813,0,0,29.0072,29.2198,27.3836,29.5479,28.6786,27.9739,27.6269,70.6099,62.8252,70.1909,70.227,73.3234,80.914,3.15833,153.749,0,0,0,0,1.64859,1.40683,1.33154,1.1444,0.76684,0.316589,366.563,366.781,367.893,370.741,370.401,422.535
132,1056826800,0,9,-2.85558,1.14228,-57.027,-2.63281,0,0,-58.3921,1.40443,1.68589,26.874,998.064,0,0,28.4554,28.7527,28.0986,29.0229,28.0545,27.3449,27.0989,70.7857,62.8239,70.7378,71.5292,75.8349,83.5835,3.44183,153.03,0,0,0,0,0.593358,0.210709,0.289319,0.343363,-0.0573183,-0.522415,368.738,368.986,370.794,372.473,373.347,438.86
133,1056828600,0,10,-2.9567,0.81778,-57.0643,-2.70945,0,0,-58.1293,1.37325,1.69168,26.5887,998.403,0,0,28.1108,28.36,28.1558,28.6114,27.7362,27.041,26.7775,71.2842,63.116,70.928,71.3896,75.2131,83.2644,3.73383,151.88,0,0,0,0,-0.27622,-0.387581,-0.449266,-0.522415,-0.830842,-1.09669,370.481,370.154,372.842,373.941,399.563,431.805
134,1056830400,0,11,-2.88215,1.20982,-59.6385,-3.19098,0,0,-60.5395,1.18561,1.6718,26.0215,998.902,0,0,27.81,28.1554,27.4824,28.252,27.2728,26.57,26.3869,71.2658,63.2324,71.6541,72.8324,77.4944,87.3134,3.17933,139.475,0,0,0,0,-0.80191,-0.71566,-0.86305,-0.946025,-1.22115,-1.34343,372.023,370.536,385.827,376.104,409.915,434.596
135,1056832200,0,12,-2.93474,0.961093,-60.4161,-3.93229,0,0,-60.3796,1.17147,1.61219,25.6506,999.298,0,0,27.6864,28.0242,27.3813,28.073,26.915,26.1581,25.9599,70.3151,62.8203,71.0498,73.1926,79.9965,90.3802,3.22683,135.742,0,0,0,0,-1.00935,-1.23316,-1.25281,-1.29758,-1.49521,-1.60007,371.211,370.208,383.91,376.854,411.807,421.015
136,1056834000,0,13,-2.85139,0.767187,-57.0308,-3.92081,0,0,-56.7286,1.43598,1.64071,25.4365,999.673,0,0,27.3553,27.6668,29.0232,27.6827,26.6005,25.6971,25.4668,71.9551,63.6145,72.48,74.7486,82.636,93.2207,3.19517,137.9,0,0,0,0,-1.39696,-1.48652,-1.56081,-1.50787,-1.75844,-1.75466,375.068,372.845,402.327,380.45,411.424,434.035
137,1056835800,0,14,-2.8251,0.809349,-55.761,-3.66481,0,0,-55.7306,1.34506,1.64081,25.2977,999.949,0,0,27.0463,27.3948,29.4724,27.5046,26.4595,25.4673,25.2342,73.579,64.5261,73.8598,74.9877,82.6879,93.158,2.73333,135.219,0,0,0,0,-1.50305,-1.51073,-1.67125,-1.62438,-1.77187,-1.85981,375.166,374.185,392.257,382.127,411.779,420.866
138,1056837600,0,15,-2.53997,1.25618,-55.9293,-3.35911,0,0,-56.3663,1.1034,1.6807,25.204,1000.24,0,0,26.8724,27.3056,28.0399,27.3864,26.3492,25.2171,25.0331,73.3257,63.285,73.7757,74.7721,82.7171,92.4675,2.73,137.259,0,0,0,0,-1.77301,-1.84728,-1.97014,-1.927,-1.88719,-1.94401,376.917,375.464,387.491,380.426,393.069,403.821
139,1056839400,0,16,-2.83826,1.09178,-57.4699,-3.71832,0,0,-57.6817,1.25131,1.66652,24.9876,1000.32,0,0,26.7437,27.1517,26.9506,27.2509,26.1649,24.9835,24.7967,73.47,62.3634,73.9567,75.1191,83.348,91.8489,2.79417,139.046,0,0,0,0,-1.74851,-1.91504,-1.99148,-1.96692,-2.09527,-2.05105,376.217,375.541,386.578,380.053,397.255,403.126
140,1056841200,0,17,-2.64966,1.04964,-58.696,-4.32599,0,0,-58.0694,1.13757,1.68644,24.6616,1000.38,0,0,26.6914,27.115,26.9091,27.0148,25.9163,24.6809,24.5489,73.2459,61.9968,74.3646,76.0281,87.3097,95.2786,3.09583,135.432,0,0,0,0,-1.7944,-2.03085,-2.19194,-1.9959,-2.27386,-2.17939,378.778,375.461,406.464,381.515,412.061,430.089
141,1056843000,0,18,-2.67597,1.23511,-59.8761,-3.77567,0,0,-60.0115,1.07219,1.67796,24.8521,1000.37,0,0,26.6151,27.0856,26.6578,27.1359,26.0669,24.4782,24.3357,73.2477,62.0827,73.4983,74.7536,86.8995,94.7316,3.198,140.43,0,0,0,0,-1.8157,-2.02867,-2.0598,-2.12532,-2.26785,-2.26239,376.41,374.198,401.365,380.717,412.471,412.853
142,1056844800,0,19,-2.89089,1.21402,-60.4574,-4.21128,0,0,-60.351,1.14901,1.67517,24.6266,1000.23,0,0,26.6199,27.0812,26.7237,27.1331,26.0647,24.319,24.1828,73.7511,62.1125,73.7992,75.1914,86.2469,95.0126,3.37283,141.003,0,0,0,0,-2.03631,-2.27222,-2.323,-2.29406,-2.23563,-2.28642,374.976,374.041,388.253,379.427,403.502,411.297
143,1056846600,0,20,-2.78126,1.07914,-60.4911,-4.57821,0,0,-59.7733,1.1803,1.67233,24.4362,1000.08,0,0,26.4841,26.9526,26.8661,26.8555,25.6571,24.1065,23.9222,74.837,61.9089,75.74,77.8279,89.789,98.0599,3.03067,137.033,0,0,0,0,-2.10512,-2.27495,-2.50648,-2.36724,-2.5813,-2.64355,378.56,376.608,443.276,389.788,448.355,448.41
144,1056848400,0,21,-2.8295,1.1508,-60.1301,-4.29157,0,0,-59.8188,1.19737,1.63821,24.5251,999.982,0,0,26.4567,26.9348,26.8182,26.8987,25.6947,23.9698,23.7974,74.5797,62.2152,75.0614,77.1457,89.6877,98.9287,2.92033,134.967,0,0,0,0,-2.18867,-2.31809,-2.38744,-2.31918,-2.45898,-2.57747,375.966,373.154,416.109,383.918,426.41,435.195
145,1056850200,0,22,-2.91289,1.1466,-60.635,-4.59353,0,0,-60.101,1.23436,1.59841,24.3262,999.923,0,0,26.4325,26.9121,28.5813,26.9243,25.6934,23.8731,23.7107,74.4124,63.4602,74.9078,76.9118,90.2548,98.6311,3.02983,138.914,0,0,0,0,-2.27167,-2.35468,-2.50867,-2.43659,-2.49338,-2.52287,373.051,371.863,419.788,381.877,411.229,421.468
