"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUL2023.CR1","22247","meteo"
"TIMESTAMP","RECORD","SWIN_1_1_1","SWOUT_1_1_1","LWIN_1_1_1","LWOUT_1_1_1","PPFD_1_1_1","PPFD_2_1_1","RN_1_1_1","RG_1_1_1","SWDIF_1_1_1","TC_1_1_1","PA_1_1_1","P_RAIN_8_19_1_1_1","VIN_1_1_1","T_CRN4_1_1_1","TA_1_1_1","TA_1_2_1","TA_1_3_1","TA_2_1_1_4_1","TA_2_1_1_5_1","TA_1_6_1","RH_1_1_1","RH_1_2_1","RH_1_3_1","RH_1_4_1","RH_1_5_1","RH_1_6_1","WS_1_1_1","WD_1_1_1","WS_1_2_1","WS_1_3_1","WS_1_4_1","WD_1_4_1","H2O_1_2_1","H2O_99_99_1_3_1","H2O_1_4_1","H2O_1_5_1","H2O_1_6_1","H2O_1_7_1","CO2_1_2_1","CO2_1_3_1","CO2_1_4_1","CO2_1_5_1","CO2_1_6_1","CO2_1_7_1"
"TS","RN","","","","","","","","","","","","","","","","","","","","","","","","","","","m/s","Deg","m/s","m/s","m/s","Deg","","","","","","","","","","","",""
"","","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Tot:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","Avg:","WVc:","WVc:","Avg:","Avg:","WVc:","WVc:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:","Smp:"
"2023-07-31 16:00:00",8,429.2926,46.07963,-72.14348,-7.645362,807.241,33.37573,318.7149,478.3771,169.4075,33.27594,998.6469,0,55.74856,34.95277,33.56289,33.42876,33.58365,34.77913,32.41456,30.9687,53.12797,52.56703,52.52369,48.44828,54.83442,66.8005,3.332334,86.86666,2.30253,2.08518,0.6651599,64.15678,0.3028101,0.4806682,0.4419314,0.5554155,0.5701414,0.291346,355.3924,355.8143,354.7094,355.0369,354.2861,412.3235
"2023-07-31 16:30:00",9,348.4781,40.33678,-67.86404,-6.081923,655.3618,28.48781,246.3592,388.5056,202.3445,32.89383,998.5408,0,56.10166,34.29346,33.28941,33.29594,33.4491,34.23796,32.28316,30.94076,54.29677,53.34026,53.41908,49.90808,54.8526,65.6558,2.7735,79.98563,1.95132,1.74087,0.5796,66.15536,0.5194045,0.5521392,0.5166734,0.4768479,0.5521413,0.119484,355.4595,354.716,352.5675,354.034,350.563,403.2935
"2023-07-31 17:00:00",10,282.6344,35.26368,-55.92128,-6.746978,526.3487,25.6461,198.1965,321.1545,181.5487,32.72982,998.4672,0,56.03627,34.38153,33.59678,33.36945,33.49346,33.82809,32.00317,30.85826,53.96168,53.67808,53.67542,51.1578,56.73685,66.19678,2.250501,122.3689,1.73949,1.42692,0.58236,128.564,0.4877577,0.3551827,0.4430198,0.4872113,0.459387,0.07529268,354.7023,353.6045,353.5157,352.9904,351.3606,417.4119
"2023-07-31 17:30:00",11,82.97105,8.214034,-32.18139,-4.548985,165.7424,8.525129,47.1246,103.5602,94.20252,29.14673,998.802,0,53.99765,30.83673,29.89057,30.32365,30.49448,30.8002,30.36428,29.7519,68.2561,65.94549,66.03429,62.78095,63.6056,70.91338,2.902,78.32127,2.35014,2.04999,0.6299701,59.59193,0.4675679,0.3377207,0.2389698,0.1614954,-0.1696792,-0.6318052,354.4839,354.6204,356.3461,359.3467,374.6299,427.2272
"2023-07-31 18:00:00",12,20.30831,3.301644,-31.23798,-3.253011,39.63347,2.017912,-10.9783,19.97448,19.19005,27.92922,999.1458,0,51.57423,29.40289,29.89241,29.60563,29.18556,28.45398,28.23826,28.01117,63.24456,64.62275,68.60404,70.24767,71.94245,78.8736,1.541166,96.60443,0.72036,0.7314,0.0828,94.82909,-0.4801747,-0.8048752,-1.012258,-1.15415,-1.322232,-1.782807,356.8291,357.337,357.7477,360.245,361.0434,415.4909
"2023-07-31 18:30:00",13,0.3247185,1.458822,-51.55886,-4.74731,4.561853,0.5684516,-47.94566,3.27435,3.285754,27.43998,999.3147,0,51.31218,29.61053,30.00995,30.12622,29.43548,28.2013,27.65753,27.36306,64.05354,63.70613,68.40756,71.00048,74.09657,81.992,2.169,121.5188,1.54146,1.05915,0.12765,123.9643,-1.688948,-1.935607,-1.985811,-2.280521,-2.379479,-2.752905,356.6712,359.8499,360.3956,363.3773,376.8214,415.4796
"2023-07-31 19:00:00",14,-2.641495,1.205894,-54.56538,-5.511943,0,0,-52.90082,1.512398,1.788153,27.20039,999.9863,0,51.17888,29.73755,30.23261,30.62436,30.22924,28.55618,27.20668,26.92752,65.56866,62.80853,64.70762,68.4007,76.85164,85.74464,2.401667,155.4022,1.36827,0.9701399,0.03726,164.9224,-2.474178,-2.733599,-2.812286,-2.927463,-3.09725,-3.303611,354.9021,356.3859,363.9683,369.5975,381.764,410.4025
"2023-07-31 19:30:00",15,-2.189776,0.8391479,-46.96202,-5.05379,0,0,-44.93715,1.256648,1.683113,27.26188,1000.303,0,51.04408,29.38983,29.77072,30.03285,29.79976,28.54648,26.80395,26.57166,69.63539,67.1531,68.31111,70.26487,80.01243,88.13998,2.854666,175.3432,1.7043,1.31445,0.13938,182.3114,-2.919864,-3.011076,-3.164454,-3.271986,-3.443979,-3.435809,354.976,356.7375,359.6099,375.7336,388.8152,403.2817
"2023-07-31 20:00:00",16,-2.431172,0.771692,-50.93951,-5.424684,0,0,-48.7177,1.649038,1.779824,26.66523,1000.682,0,50.92588,29.09238,29.42052,29.63945,29.38242,27.85251,26.5276,26.27342,73.16867,70.84495,71.97879,74.50098,83.66025,92.82435,2.7305,183.128,1.43865,1.0833,0.03105,192.9981,-3.270414,-3.28734,-3.352302,-3.589218,-3.687478,-3.726236,355.4827,357.7482,359.9317,392.9921,412.7943,413.8314
"2023-07-31 20:30:00",17,-2.387288,1.227117,-55.83464,-5.245009,0,0,-54.20403,1.225406,1.668941,26.19469,1001.18,0,50.81321,28.69416,29.1621,29.49588,29.21071,27.3382,26.15544,25.92515,76.11563,73.88802,75.47364,79.49332,86.31493,95.50292,2.595666,176.9677,1.54905,1.10676,0.02415,180.4418,-3.262776,-3.5319,-3.593585,-3.813578,-3.791742,-3.966973,356.4449,358.3487,362.0198,399.0788,407.697,424.756
