"TOA5","K34_CR1000_METEO","CR1000","47272","CR1000.Std.32.05","CPU:K34_METEO_JUN2023.CR1","35560","RadSensors"
"LINE","SECONDS","NANOSECONDS","RECORD","Incoming_SW_2_Avg","Outgoing_SW_2_Avg","Incoming_LW_2_Avg","Outgoing_LW_2_Avg","NetSW_2_Avg","NetLW_2_Avg","Net_radiation_2_Avg","mV_LWin_2_Avg","sensorbody_temp_in_LW_2_Avg","mV_LWout_2_Avg","sensorbody_temp_out_LW_2_Avg","albedo_2_Avg"
"LN","SECONDS","NANOSECONDS","RN","","","","","","","","","","","",""
"","","","","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg"
683,1056626520,0,4084,910.72,5.44,408.54,498.09,907.39,-88.98,818.41,-10.998,36.39,-1.485,34.99,0.006
684,1056626580,0,4085,915.03,5.68,406.15,496.22,910.05,-91.01,819.04,-10.849,35.97,-1.352,34.61,0.006
685,1056626640,0,4086,908.64,7.21,407.36,499.07,900.62,-91.78,808.84,-10.517,35.78,-0.978,34.45,0.008
686,1056626700,0,4087,899.65,6.12,409.04,498.29,892.85,-89.76,803.09,-10.325,35.68,-0.911,34.37,0.007
687,1056626760,0,4088,885.62,3.57,407.19,497.34,884.45,-90.01,794.44,-10.657,35.83,-1.283,34.5,0.002
688,1056626820,0,4089,380.1,-0.01,401.52,494.41,639.84,-90.19,549.65,-10.71,35.42,-1.402,34.23,0
689,1056626880,0,4090,897.99,8.62,410.92,500.64,890.35,-89.44,800.92,-10.12,35.51,-0.892,34.24,0.009
690,1056626940,0,4091,888.25,8.13,414.29,502.13,877.13,-88.48,788.65,-9.891,35.87,-0.648,34.47,0.01
691,1056627000,0,4092,904.48,6.86,413.63,497.58,896.85,-84.54,812.31,-9.876,35.87,-1.007,34.47,0.007
692,1056627060,0,4093,282.93,0,408.91,494.5,274.06,-86.01,188.04,-10.383,35.57,-1.363,34.32,0
693,1056627120,0,4094,960.575,9.42,419.765,495.435,965.65,-74.23,891.42,-9.083,34.97,-1.123,33.88,0.01
694,1056627180,0,4095,944.52,9.57,419.98,498.53,934.55,-77.79,856.77,-8.878,35.04,-0.576,33.87,0.01
695,1056627240,0,4096,925.045,8.575,416.065,499.41,914.63,-83.02,831.61,-9.257,35.41,-0.731,34.09,0.009
696,1056627300,0,4097,932.42,9.12,416.95,499.78,919.82,-83.77,836.05,-9.488,35.51,-0.741,34.15,0.01
697,1056627360,0,4098,936.83,9.04,418.035,499.82,930.26,-81.75,848.52,-9.534,35.86,-0.925,34.37,0.009
698,1056627420,0,4099,938.67,9.285,418.2,500.035,925.1,-83.26,841.83,-9.325,35.73,-0.813,34.27,0.011
699,1056627480,0,4100,942.61,10.25,418.56,501.18,934.24,-81.31,852.93,-9.229,35.72,-0.935,34.28,0.01
700,1056627540,0,4101,949,8.825,414.98,503.95,938.72,-86.24,852.47,-9.449,35.97,-0.658,34.47,0.009
701,1056627600,0,4102,953.23,9.26,412.41,504.68,942.02,-91.96,850.06,-10.102,36.19,-0.39,34.6,0.011
702,1056627660,0,4103,910.62,8.43,412.76,504.52,903.61,-91.99,811.62,-10.289,36.45,-0.671,34.89,0.011
703,1056627720,0,4104,913.24,4.46,405.65,504.49,907.85,-97.14,810.71,-10.974,36.67,-0.937,35.04,0.007
704,1056627780,0,4105,878.31,7.33,408.61,503.89,868.39,-94.98,773.4,-10.681,36.33,-0.808,34.9,0.011
705,1056627840,0,4106,898.27,3.98,405.91,500.49,896.02,-92.03,803.99,-10.829,35.96,-0.911,34.63,0.005
706,1056627900,0,4107,901.96,3.98,407.84,499.08,897.42,-91.86,805.56,-10.729,35.76,-0.738,34.48,0.004
707,1056627960,0,4108,906.81,8.44,411.75,503.5,898.36,-92.22,806.14,-10.163,35.93,-0.534,34.52,0.01
708,1056628020,0,4109,911.1,8.81,408.84,504.5,903.07,-96.13,806.93,-10.556,35.87,-0.49,34.57,0.009
709,1056628080,0,4110,909.44,6.6,411.42,501.51,902.12,-89.75,812.38,-10.339,35.81,-0.974,34.45,0.007
710,1056628140,0,4111,918.45,6.12,408.65,496.55,912.99,-89.97,823.01,-10.307,35.37,-0.746,34.13,0.008
711,1056628200,0,4112,924.21,9.26,409.7,502.28,915.5,-91.03,824.46,-10.022,35.31,-0.272,34.05,0.01
712,1056628260,0,4113,927.59,8.14,410.34,500.12,922.03,-89.04,832.99,-10.067,35.4,-0.557,34.11,0.007
713,1056628320,0,4114,932.57,7.26,412.83,499.33,927.27,-86.21,841.06,-9.819,35.33,-0.864,34.1,0.007
714,1056628380,0,4115,934.58,9.52,413.87,502.26,925.59,-89.58,836,-9.689,35.47,-0.356,34.15,0.011
715,1056628440,0,4116,934.83,9.42,412.72,504.02,923.21,-91.17,832.04,-9.859,35.51,-0.308,34.22,0.01
716,1056628500,0,4117,929.27,9.33,417.83,503.82,914.93,-86.47,828.46,-9.499,35.91,-0.457,34.46,0.01
717,1056628560,0,4118,963.65,10.5,418.95,505.17,953.05,-86.54,866.51,-9.584,36.21,-0.496,34.68,0.012
718,1056628620,0,4119,972.81,10.94,414.91,507.11,960.89,-92.05,868.84,-10.11,36.39,-0.412,34.87,0.011
719,1056628680,0,4120,952.52,10.71,417.98,507.98,941.43,-90.08,851.36,-9.873,36.72,-0.479,35.08,0.012
720,1056628740,0,4121,939.16,8.16,410.93,507.8,930.34,-96.31,834.04,-10.724,37.02,-0.646,35.27,0.011
721,1056628800,0,4122,936.56,8.39,409.62,505.945,930.69,-94.17,836.52,-10.828,37.25,-0.997,35.36,0.01
722,1056628860,0,4123,941.125,9.06,411.165,506.97,926.63,-95.45,831.18,-10.902,37.05,-0.957,35.33,0.009
723,1056628920,0,4124,950.765,8.91,412.48,507.93,936.35,-94.05,842.3,-10.576,37.12,-0.757,35.36,0.011
724,1056628980,0,4125,956.05,9.19,411.89,509.15,947.82,-97.97,849.85,-10.638,37.19,-0.932,35.39,0.01
725,1056629040,0,4126,985.675,11.285,416.71,508.28,965.19,-93.03,872.16,-10.723,37.26,-0.849,35.51,0.013
726,1056629100,0,4127,997.13,11.52,418.43,509.35,986.03,-91.24,894.79,-10.07,37.27,-0.683,35.54,0.013
727,1056629160,0,4128,1043.49,11.6,422.09,507.59,1027.67,-86.48,941.19,-9.809,37.38,-0.767,35.57,0.014
728,1056629220,0,4129,646.31,1.9,415.84,506.64,544.77,-90.18,454.6,-10.743,37.24,-0.882,35.56,0
729,1056629280,0,4130,995.62,10.38,420.27,507.37,983.29,-86.77,896.52,-9.923,37.21,-0.826,35.38,0.011
730,1056629340,0,4131,975.27,9.21,414.23,505.87,964.42,-92.47,871.94,-10.622,37.12,-0.826,35.34,0.01
731,1056629400,0,4132,961.72,9.18,414.8,507.33,952.14,-92.94,859.2,-10.474,37.32,-0.796,35.46,0.009
732,1056629460,0,4133,950.42,6.96,414.07,504.66,938.15,-90.3,847.84,-10.444,37.07,-0.831,35.35,0.008
733,1056629520,0,4134,945.84,8.04,413.64,503.59,937.12,-89.53,847.59,-10.474,36.84,-1.018,35.19,0.009
734,1056629580,0,4135,937.84,6.98,413.84,505.45,922.33,-94.37,827.97,-10.5,36.71,-0.721,35.1,0.007
735,1056629640,0,4136,959.26,7.54,415.7,504.09,950.94,-91.25,859.69,-10.421,36.8,-0.515,35.13,0.009
736,1056629700,0,4137,958.88,6.89,417.18,501.8,950.75,-86.33,864.41,-9.795,36.33,-0.802,34.8,0.009
737,1056629760,0,4138,963.8,10.86,418.2,505.87,953.28,-87.74,865.54,-9.701,36.29,-0.528,34.79,0.011
738,1056629820,0,4139,978.75,8.38,417.3,506.92,972.65,-89.81,882.84,-10.065,36.46,-0.556,34.92,0.007
739,1056629880,0,4140,994.74,11.57,420.85,506.49,982.98,-86.08,896.89,-9.398,36.5,-0.472,34.86,0.012
740,1056629940,0,4141,996.59,9.41,417.46,505.83,987.97,-91.46,896.52,-9.997,36.59,-0.342,34.91,0.01
741,1056630000,0,4142,988.67,8.16,417.69,502.71,978.5,-85.28,893.22,-9.681,36.21,-0.875,34.66,0.008
742,1056630060,0,4143,967.35,8.89,416.61,502.46,957.44,-86.12,871.32,-9.681,36.05,-0.718,34.5,0.008
743,1056630120,0,4144,937.19,6.4,414.44,501.27,930.53,-86.73,843.8,-9.787,35.86,-0.732,34.4,0.008
744,1056630180,0,4145,896.71,5.07,411.88,501.69,889.05,-90.33,798.72,-10.101,35.77,-0.547,34.36,0.005
745,1056630240,0,4146,890.64,4.6,406.7,501.4,885.09,-94.72,790.37,-10.463,35.7,-0.775,34.31,0.006
746,1056630300,0,4147,884.02,6.54,409.51,504.06,874.6,-94.91,779.69,-10.386,35.9,-0.485,34.43,0.007
747,1056630360,0,4148,891.9,4.03,407.04,500.13,884.53,-96.96,787.58,-10.753,35.72,-0.515,34.37,0.004
748,1056630420,0,4149,888.29,6.69,409.1,501.68,882.05,-93.62,788.43,-10.391,35.7,-0.669,34.41,0.008
749,1056630480,0,4150,892.4,4.43,409.68,501.48,886.48,-93.31,793.18,-10.414,35.91,-0.603,34.52,0.007
750,1056630540,0,4151,901.35,5.43,410.56,503.16,897.32,-92.65,804.67,-10.329,36.17,-0.656,34.65,0.008
751,1056630600,0,4152,881.13,7.11,411.84,505.55,875.83,-94.97,780.86,-10.375,36.33,-0.439,34.8,0.01
752,1056630660,0,4153,877.37,4.39,411.62,503.72,871.2,-92.95,778.25,-10.406,36.49,-0.727,34.92,0.007
753,1056630720,0,4154,916.255,5.285,413.11,506.335,901.53,-91.87,809.66,-10.173,36.73,-0.587,35.09,0.01
754,1056630780,0,4155,568.3,1.3,410.83,504.16,919.04,-92.31,826.73,-10.538,36.71,-0.832,35.07,0.004
755,1056630840,0,4156,214.56,-0.01,410.61,502.37,211.9,-90.58,121.32,-10.604,36.46,-1.249,34.98,0
756,1056630900,0,4157,939.12,5.65,419.9,498.875,936.79,-82.86,853.92,-9.451,35.76,-1.104,34.55,0.004
757,1056630960,0,4158,935.95,6.66,420.86,499.68,932.52,-82.97,849.55,-9.203,35.56,-0.468,34.37,0.009
758,1056631020,0,4159,970.08,7.405,423.25,503.19,963.7,-83.41,880.29,-9.234,35.53,-0.491,34.34,0.007
759,1056631080,0,4160,635.115,4.735,421.595,500.025,961.09,-76.44,884.65,-8.478,35.52,-0.443,34.31,0.011
760,1056631140,0,4161,297.36,0,416.99,496.92,299.74,-81.31,218.42,-9.66,35.51,-1.233,34.34,0
761,1056631200,0,4162,332.08,-0.01,417.95,497.01,316.36,-78.88,237.48,-9.291,35.12,-1.05,34.09,0
762,1056631260,0,4163,694.2,0,422.33,495.55,618.98,-73.18,545.8,-8.678,34.83,-1.031,33.94,0
763,1056631320,0,4164,918.01,9.45,425.77,499.74,901.96,-74.51,827.45,-8.379,34.93,-0.541,33.97,0.011
764,1056631380,0,4165,888.48,8.77,426.18,503.49,879.23,-77.68,801.54,-8.46,35.35,-0.381,34.19,0.009
765,1056631440,0,4166,813.45,7.03,424.16,506.04,803.63,-81.99,721.64,-8.881,35.99,-0.358,34.48,0.009
766,1056631500,0,4167,775.62,2.14,424.1,503.59,778.26,-79.34,698.92,-9.055,36.26,-0.705,34.69,0.004
767,1056631560,0,4168,826.89,4.71,423.62,505.17,820.35,-80.03,740.31,-9.078,36.36,-0.721,34.77,0.005
768,1056631620,0,4169,854.51,5.14,422.44,507.18,849.73,-83.78,765.95,-9.488,36.67,-0.576,34.97,0.005
769,1056631680,0,4170,871.02,3.94,423.8,502.27,862.68,-77.97,784.71,-9.097,36.36,-0.961,34.78,0.004
770,1056631740,0,4171,905.24,8.12,427.93,503.82,898.14,-76.1,822.04,-8.684,36.21,-0.795,34.65,0.007
771,1056631800,0,4172,865.25,4.3,428.81,502.77,862.86,-74.56,788.3,-8.481,36.04,-0.604,34.59,0.008
772,1056631860,0,4173,948.03,7.29,428.93,505.45,941.61,-75.39,866.21,-8.413,36.02,-0.587,34.64,0.008
773,1056631920,0,4174,961.76,8.58,428.22,504.79,956.96,-77.68,879.28,-8.543,36.02,-0.348,34.64,0.009
774,1056631980,0,4175,959.45,9.26,426.61,507.84,943.03,-81.19,861.84,-8.763,36.1,-0.259,34.71,0.01
775,1056632040,0,4176,953.32,8.31,426.78,508.15,964.23,-81.68,882.56,-8.836,36.18,-0.317,34.91,0.01
776,1056632100,0,4177,970.19,6.05,425.59,507.41,945.26,-81.21,864.05,-8.949,36.24,-0.582,34.94,0.008
777,1056632160,0,4178,727.35,0.02,425.32,505.49,693.65,-80.33,613.32,-9.407,36.46,-0.576,34.98,0
778,1056632220,0,4179,913.72,9.91,427.21,507.89,899.21,-78.88,820.33,-8.904,36.48,-0.691,35.07,0.009
779,1056632280,0,4180,871.78,5.74,425.28,506.36,861.74,-79.77,781.97,-9.066,36.5,-0.829,35.05,0.006
780,1056632340,0,4181,851.03,5.54,427.41,507.37,840.94,-80.31,760.63,-9.189,36.7,-0.538,35.14,0.005
781,1056632400,0,4182,839.045,2.59,422.63,503.445,809.86,-81.62,728.24,-9.484,36.7,-0.981,35.14,0
782,1056632460,0,4183,704.455,1.66,420.52,499.52,841.99,-82.7,759.29,-9.353,36.46,-0.926,34.99,0.004
783,1056632520,0,4184,687.605,2.31,419.685,498.87,683.06,-77.26,605.8,-9.108,35.56,-1.172,34.45,0.003
784,1056632580,0,4185,835.145,3.955,419.45,500.35,782.45,-80.95,701.5,-9.319,35.71,-0.887,34.53,0.003
785,1056632640,0,4186,866.53,4.665,417.04,501.61,848.88,-81.46,767.42,-9.483,35.54,-0.738,34.36,0.006
786,1056632700,0,4187,874.66,6.03,416,504.23,866.47,-89.24,777.22,-9.587,35.59,-0.393,34.39,0.008
787,1056632760,0,4188,859.585,5.92,415.355,504.31,856.29,-87.19,769.1,-9.704,35.87,-0.401,34.5,0.008
788,1056632820,0,4189,860.54,6.73,414.52,504.98,858.14,-89.71,768.43,-10.024,36.17,-0.59,34.72,0.008
789,1056632880,0,4190,859.48,5.525,412.85,504.33,834.95,-90.53,744.42,-10.288,36.28,-0.859,34.79,0.005
790,1056632940,0,4191,879.76,6.97,413.58,505.43,872.42,-92.41,780,-10.296,36.43,-0.645,34.9,0.008
791,1056633000,0,4192,897.66,9.47,414.99,509.69,888.23,-95.94,792.29,-10.5,36.86,-0.322,35.25,0.01
792,1056633060,0,4193,893.56,7.86,414.25,510.92,884.4,-96.18,788.22,-10.633,37.47,-0.644,35.59,0.009
793,1056633120,0,4194,892.61,7.5,413.45,511.12,887.45,-96.98,790.48,-10.9,37.88,-0.765,35.79,0.008
794,1056633180,0,4195,909.75,8.35,414.48,511.27,900.62,-95.19,805.43,-10.785,37.77,-0.854,35.87,0.009
795,1056633240,0,4196,913.68,6.3,413.93,508.75,908.74,-92.94,815.8,-10.96,37.89,-1.19,35.97,0.005
796,1056633300,0,4197,916.08,4.96,413.52,507.01,910.95,-94.97,815.98,-11.191,37.96,-0.91,35.98,0.006
797,1056633360,0,4198,908.85,3.04,411.35,511.05,907.4,-97.29,810.12,-10.904,37.67,-1.105,35.84,0.003
798,1056633420,0,4199,891.02,4.6,417.31,507.22,888.38,-89.02,799.37,-10.448,37.49,-1.051,35.77,0.007
799,1056633480,0,4200,868.67,2.36,414.75,506.36,868.7,-91.56,777.14,-10.817,37.51,-1.174,35.71,0.001
800,1056633540,0,4201,878.75,5.98,417.43,507.03,872.45,-89.43,783.02,-10.241,37.14,-0.888,35.54,0.007
801,1056633600,0,4202,876.67,7.22,416.25,510.99,868.62,-94.7,773.92,-10.641,37.62,-0.788,35.81,0.008
802,1056633660,0,4203,867.18,3.05,410.62,507.42,864.34,-97.49,766.85,-11.196,37.34,-0.932,35.66,0.002
803,1056633720,0,4204,871.82,6.67,414.42,509.42,864.04,-96.8,767.24,-10.791,37.45,-0.695,35.71,0.01
804,1056633780,0,4205,869.24,3.07,413.51,507.48,864.63,-96.49,768.14,-10.916,37.64,-0.606,35.8,0.01
805,1056633840,0,4206,870.01,5.63,410.34,509.96,864.55,-101.61,762.93,-11.551,37.76,-0.845,35.92,0.006
806,1056633900,0,4207,861.91,5.52,413.33,508.27,857.3,-94.71,762.59,-10.84,37.5,-0.976,35.76,0.006
807,1056633960,0,4208,869.26,7,412.41,510.5,861.71,-98.07,763.63,-11.057,37.77,-0.908,35.92,0.006
808,1056634020,0,4209,867.68,3.98,410.57,507.49,862.33,-96.24,766.09,-11.073,37.57,-0.921,35.75,0.007
809,1056634080,0,4210,866.72,4.47,411.34,507.48,862.55,-96.34,766.21,-11.225,37.88,-1.135,35.94,0.006
810,1056634140,0,4211,860.92,2.66,410.52,505.82,858.53,-94.86,763.68,-11.081,37.57,-1.191,35.71,0.002
811,1056634200,0,4212,854.03,2.24,411,505.78,851.33,-94.45,756.89,-10.924,37.24,-1.041,35.52,0.004
812,1056634260,0,4213,854.48,5.545,415.115,508.2,847.74,-92.27,755.48,-10.551,37.11,-0.859,35.48,0.008
813,1056634320,0,4214,856.42,5.92,415.76,510.16,849.74,-94.35,755.39,-10.593,37.5,-0.75,35.65,0.007
814,1056634380,0,4215,851.73,1.7,410.935,506.82,848.53,-101.17,747.36,-11.058,37.78,-0.912,35.84,0.004
815,1056634440,0,4216,853.88,1.905,412.035,504.56,852.31,-90.99,761.32,-10.98,37.2,-1.197,35.45,0.002
816,1056634500,0,4217,852,2.065,412.69,505.545,852.87,-92.27,760.6,-10.699,36.96,-0.935,35.31,0.004
817,1056634560,0,4218,848.4,0.9,411.19,505.94,845.5,-94.04,751.47,-10.531,36.4,-0.678,35,0.002
818,1056634620,0,4219,824.35,3.52,414.42,505.86,822.36,-92.43,729.94,-10.068,36.31,-0.77,34.91,0.004
819,1056634680,0,4220,835.73,3.27,415.68,505.05,831.37,-88.63,742.74,-10.02,36.5,-0.807,35.01,0.005
820,1056634740,0,4221,820.3,6.26,416.93,509.12,813.21,-91.68,721.52,-9.912,36.71,-0.527,35.17,0.007
821,1056634800,0,4222,825.65,2.77,416.62,504.26,822.93,-87.83,735.11,-10.026,36.52,-0.976,35,0.003
822,1056634860,0,4223,815.67,4.22,415.36,506.17,810.32,-90.79,719.53,-10.021,36.38,-0.689,34.89,0.005
823,1056634920,0,4224,821.07,3.58,415.19,506.83,816.51,-91.62,724.89,-9.916,36.2,-0.303,34.84,0.006
824,1056634980,0,4225,816.62,2.79,415.23,506.09,813.65,-91.59,722.06,-9.921,36.17,-0.651,34.84,0.004
825,1056635040,0,4226,809.5,2.65,417.83,505.18,805.32,-87.96,717.35,-9.743,36.13,-0.532,34.83,0.004
826,1056635100,0,4227,805.76,5.07,421.53,507.92,801.27,-88.87,712.4,-9.749,36.59,-0.607,35.07,0.006
827,1056635160,0,4228,804.86,2.48,424.89,505.72,802,-80.89,721.11,-9.174,36.31,-0.604,35,0.006
828,1056635220,0,4229,804.82,5.04,426.14,507.92,800.66,-81.07,719.59,-8.948,36.52,-0.573,35.12,0.006
829,1056635280,0,4230,411.33,0,424.35,506.72,485.67,-82.1,403.57,-9.228,36.79,-0.597,35.22,0
830,1056635340,0,4231,324.69,-0.01,422.39,506.29,315.47,-84.33,231.14,-9.655,36.75,-0.867,35.24,0
831,1056635400,0,4232,222.42,-0.01,424.56,499.16,222.11,-74.2,147.91,-9.173,36.18,-1.429,35.01,0
832,1056635460,0,4233,223.91,0,422.45,496.87,224.53,-74.36,150.16,-9.202,35.84,-1.552,34.76,0
833,1056635520,0,4234,245.02,0,424.04,496.46,247.2,-72.2,175.01,-8.837,35.35,-1.241,34.5,0
834,1056635580,0,4235,335.53,0,423.98,498.89,320.2,-74.79,245.42,-8.957,35.46,-1.187,34.52,0
835,1056635640,0,4236,822.67,7.34,428.84,504.78,813.89,-76.34,737.55,-8.527,35.79,-0.578,34.67,0.008
836,1056635700,0,4237,769.95,5.88,424.86,507.49,766.16,-82.56,683.6,-9.218,36.42,-0.466,34.98,0.007
837,1056635760,0,4238,799.46,5.37,425.57,508.91,788.07,-83.41,704.66,-9.334,36.89,-0.545,35.26,0.006
838,1056635820,0,4239,790.45,6.87,422.29,510.44,785.82,-86.46,699.36,-9.713,37.53,-0.817,35.62,0.003
839,1056635880,0,4240,276.23,0,417.62,502.72,275.73,-85.07,190.66,-10.24,37.18,-1.385,35.47,0
840,1056635940,0,4241,377.45,0,419.84,503.9,382.99,-82.69,300.29,-9.719,36.75,-1.181,35.28,0
841,1056636000,0,4242,639.835,0.73,425.17,503.9,606.48,-82.17,524.32,-9.513,37.21,-0.852,35.54,0
842,1056636060,0,4243,615.09,0,424.405,500.82,666.94,-61.13,605.81,-9.359,36.79,-1.584,35.32,0
843,1056636120,0,4244,670.72,0,425.63,502.64,478.23,-78.87,399.36,-9.601,36.67,-1.128,35.21,0
844,1056636180,0,4245,237.235,-0.01,422.105,496.67,243.3,-77.88,165.42,-9.403,35.94,-1.458,34.84,0
845,1056636240,0,4246,230.23,-0.01,423.97,494.81,230.61,-71.61,159,-8.872,35.35,-1.529,34.5,0
846,1056636300,0,4247,498.58,1.64,429.115,498.605,249.51,-69.62,179.9,-8.534,35.14,-1.301,34.37,0
847,1056636360,0,4248,750.54,3.485,431.88,502.84,744.26,-69.34,674.92,-7.945,35.45,-0.654,34.41,0.006
848,1056636420,0,4249,756.89,3.845,432.3,505.07,747.84,-74.47,673.38,-8.233,35.95,-0.471,34.65,0.005
849,1056636480,0,4250,761.71,4.01,433.14,505.83,757.48,-73.54,683.94,-8.078,36.28,-0.395,34.75,0.007
850,1056636540,0,4251,763.08,4.43,431.23,507.14,756.71,-76.96,679.75,-8.514,36.77,-0.502,35.05,0.008
851,1056636600,0,4252,768.02,5.76,431.71,509.87,761.44,-77.55,683.89,-8.659,37.25,-0.414,35.36,0.008
852,1056636660,0,4253,338.78,-0.02,424.66,510.6,306.09,-85.91,220.18,-9.638,37.53,-0.755,35.66,0
853,1056636720,0,4254,416.67,0,428.51,503.54,432.84,-75.06,357.78,-9.14,37.35,-1.341,35.63,0
854,1056636780,0,4255,443.43,0,428.77,505.24,410.83,-77.38,333.45,-9.148,36.94,-1.147,35.45,0
855,1056636840,0,4256,246.47,0,427.39,496.98,244.66,-70.46,174.2,-8.934,36.33,-1.655,35.12,0
856,1056636900,0,4257,215.4,-0.01,428.75,496.61,215.01,-67.81,147.2,-8.622,35.81,-1.684,34.78,0
857,1056636960,0,4258,209.21,-0.01,428.62,494.93,209.23,-66.16,143.07,-8.36,35.36,-1.431,34.5,0
858,1056637020,0,4259,217.63,0,430.3,493.62,217.92,-63.23,154.7,-8.006,34.91,-1.417,34.22,0
859,1056637080,0,4260,229.48,0.01,430.97,492.91,229.58,-61.36,168.23,-7.706,34.42,-1.312,33.89,0
860,1056637140,0,4261,239.77,0,431.92,493.35,239.94,-60.53,179.4,-7.435,34.15,-1.124,33.69,0
861,1056637200,0,4262,246.3,0,432.35,491.93,246.26,-59.43,186.83,-7.353,34,-1.129,33.55,0
862,1056637260,0,4263,245.9,0,432.91,492.26,245.97,-59.74,186.24,-7.257,33.92,-1.031,33.49,0
863,1056637320,0,4264,251.51,0,433.37,491.56,251.64,-58.42,193.21,-7.117,33.74,-0.986,33.35,0
864,1056637380,0,4265,257.37,0,433.79,492.18,257.56,-58.22,199.34,-6.976,33.58,-0.969,33.24,0
865,1056637440,0,4266,299.38,0,435.14,491.75,296.73,-56.65,240.08,-6.845,33.53,-0.802,33.17,0
866,1056637500,0,4267,285.29,0,434.88,491.77,285.45,-56.88,228.57,-6.795,33.49,-0.859,33.13,0
867,1056637560,0,4268,285.98,0,434.81,492.59,286.1,-57.83,228.28,-6.83,33.48,-0.738,33.11,0
868,1056637620,0,4269,286.82,-0.01,435.11,491.48,286.99,-57.8,229.19,-6.794,33.52,-0.75,33.11,0
869,1056637680,0,4270,345.09,0,435.96,493.25,403.66,-57.18,346.48,-6.582,33.6,-0.696,33.16,0
870,1056637740,0,4271,628.46,0.03,437.55,496.32,641.15,-59.15,582,-6.679,34.11,-0.497,33.37,0.002
871,1056637800,0,4272,452.38,0.01,433.65,499.83,417.47,-65.37,352.1,-7.33,34.67,-0.51,33.67,0
872,1056637860,0,4273,725.51,0.15,435.98,499.835,727.47,-62.24,665.22,-6.945,34.49,-0.505,33.59,0.002
873,1056637920,0,4274,730.665,1.49,437.115,501.885,730.54,-66.12,664.42,-7.167,34.94,-0.277,33.82,0
874,1056637980,0,4275,654.915,1.35,436.795,501.12,695.49,-63.65,631.84,-7.079,35.29,-0.392,34,0.002
875,1056638040,0,4276,528.865,0,435.375,501.38,609.67,-65.96,543.7,-7.488,35.34,-0.575,34.1,0
876,1056638100,0,4277,469.24,0,435.53,502.36,444.71,-67.36,377.35,-7.672,35.56,-0.55,34.24,0
877,1056638160,0,4278,259.685,-0.005,435.155,495.22,286.97,-61.77,225.2,-7.467,35.17,-0.868,34.11,0
878,1056638220,0,4279,239.73,0,435.5,494.33,239,-59.02,179.98,-7.294,34.8,-1.087,33.93,0
879,1056638280,0,4280,229.52,-0.01,438.06,492.87,229.43,-54.6,174.83,-6.852,34.46,-1.135,33.71,0
880,1056638340,0,4281,218.64,-0.01,438.26,492.81,218.39,-54.82,163.58,-6.748,34.14,-1.022,33.54,0
881,1056638400,0,4282,206.88,-0.01,438.83,491.76,206.55,-53.09,153.45,-6.559,33.86,-1.031,33.37,0
882,1056638460,0,4283,203.37,-0.01,437.73,492,203.37,-53.63,149.74,-6.604,33.73,-1.016,33.27,0
883,1056638520,0,4284,203.58,-0.01,437.06,492.21,203.6,-55.4,148.2,-6.591,33.51,-0.793,33.13,0
884,1056638580,0,4285,203.87,0,436.8,490.51,203.68,-53.16,150.52,-6.478,33.33,-0.983,32.99,0
885,1056638640,0,4286,202.63,-0.01,436.78,489.18,202.75,-52.44,150.3,-6.406,33.11,-0.918,32.85,0
886,1056638700,0,4287,207.51,0.01,436.1,489.94,207.8,-54.26,153.54,-6.429,33.02,-0.809,32.76,0
887,1056638760,0,4288,216.14,0.01,436.32,488.96,216.33,-52.92,163.4,-6.367,32.93,-0.846,32.69,0
888,1056638820,0,4289,219.98,0,435.82,489.22,220.09,-53.55,166.54,-6.359,32.82,-0.728,32.58,0
889,1056638880,0,4290,223.01,0,434.58,487.87,223.15,-53.33,169.82,-6.471,32.76,-0.954,32.52,0
890,1056638940,0,4291,220.93,0,433.88,488.61,220.89,-54.73,166.17,-6.461,32.76,-0.757,32.45,0
891,1056639000,0,4292,219.88,0,432.66,487.53,219.72,-54.77,164.95,-6.495,32.66,-0.801,32.39,0
892,1056639060,0,4293,214.39,-0.01,432.38,488.03,214.23,-55.8,158.43,-6.521,32.6,-0.693,32.35,0
893,1056639120,0,4294,212.48,0.01,430.59,487.05,212.41,-56.64,155.77,-6.666,32.47,-0.781,32.26,0
894,1056639180,0,4295,211.1,0,429.8,487.94,211.06,-57.7,153.36,-6.71,32.41,-0.659,32.22,0
895,1056639240,0,4296,209.9,0,429.3,488.17,209.93,-58.89,151.04,-6.783,32.4,-0.604,32.22,0
896,1056639300,0,4297,214.31,-0.01,428.46,487.75,214.47,-58.84,155.63,-6.83,32.38,-0.671,32.2,0
897,1056639360,0,4298,223.3,0,428.17,488.01,223.62,-59.29,164.33,-6.852,32.44,-0.714,32.21,0
898,1056639420,0,4299,234.79,0,428.72,488.49,235.14,-58.82,176.32,-6.809,32.47,-0.638,32.24,0
899,1056639480,0,4300,244.77,0.01,429.96,488.4,244.98,-58.64,186.34,-6.757,32.51,-0.647,32.25,0
900,1056639540,0,4301,250.94,-0.01,429.71,488.87,251.05,-58.74,192.31,-6.754,32.59,-0.609,32.29,0
901,1056639600,0,4302,254.98,0,428.37,488.055,255.14,-59.73,195.4,-6.922,32.71,-0.676,32.33,0
902,1056639660,0,4303,280.485,0.005,427.455,488.73,261.96,-60.23,201.74,-6.987,32.65,-0.681,32.31,0
